Strain	Lineage	BdDV1	scaffold_10	start	end	Coverage	Average_NCL	Coverage/Average_NCL
CLFT061	BRAZIL	Infected	scaffold_10	7477	7577	20.3	44.89	0.452216529
CLFT061	BRAZIL	Infected	scaffold_10	7577	7677	10.86	44.89	0.241924705
CLFT061	BRAZIL	Infected	scaffold_10	7677	7777	4.15	44.89	0.092448207
CLFT061	BRAZIL	Infected	scaffold_10	7777	7799	1.863636	44.89	0.041515616
CLFT061	BRAZIL	Infected	scaffold_10	7908	8008	5.99	44.89	0.133437291
CLFT061	BRAZIL	Infected	scaffold_10	8008	8108	19.07	44.89	0.424816217
CLFT061	BRAZIL	Infected	scaffold_10	8108	8208	24.54	44.89	0.546669637
CLFT061	BRAZIL	Infected	scaffold_10	8208	8308	21.09	44.89	0.469815104
CLFT061	BRAZIL	Infected	scaffold_10	8308	8408	25.91	44.89	0.577188683
CLFT061	BRAZIL	Infected	scaffold_10	8408	8508	32.46	44.89	0.723100913
CLFT061	BRAZIL	Infected	scaffold_10	8508	8608	28.77	44.89	0.640899978
CLFT061	BRAZIL	Infected	scaffold_10	8608	8708	28.12	44.89	0.626420138
CLFT061	BRAZIL	Infected	scaffold_10	8708	8808	25.94	44.89	0.577856984
CLFT061	BRAZIL	Infected	scaffold_10	8808	8908	19.98	44.89	0.445087993
CLFT061	BRAZIL	Infected	scaffold_10	8908	9008	18.9	44.89	0.421029182
CLFT061	BRAZIL	Infected	scaffold_10	9008	9108	13.53	44.89	0.301403431
CLFT061	BRAZIL	Infected	scaffold_10	9108	9208	22.62	44.89	0.503898418
CLFT061	BRAZIL	Infected	scaffold_10	9208	9308	26.96	44.89	0.600579194
CLFT061	BRAZIL	Infected	scaffold_10	9308	9408	24.66	44.89	0.549342838
CLFT061	BRAZIL	Infected	scaffold_10	9408	9508	30.07	44.89	0.669859657
CLFT061	BRAZIL	Infected	scaffold_10	9508	9608	21.38	44.89	0.47627534
CLFT061	BRAZIL	Infected	scaffold_10	9608	9708	24.41	44.89	0.543773669
CLFT061	BRAZIL	Infected	scaffold_10	9708	9808	27.9	44.89	0.621519269
CLFT061	BRAZIL	Infected	scaffold_10	9808	9908	22.82	44.89	0.508353754
CLFT061	BRAZIL	Infected	scaffold_10	9908	10008	19.17	44.89	0.427043885
CLFT061	BRAZIL	Infected	scaffold_10	10008	10108	21.68	44.89	0.482958343
CLFT061	BRAZIL	Infected	scaffold_10	10108	10208	18.61	44.89	0.414568946
CLFT061	BRAZIL	Infected	scaffold_10	10208	10308	17.02	44.89	0.379149031
CLFT061	BRAZIL	Infected	scaffold_10	10308	10408	17.25	44.89	0.384272667
CLFT061	BRAZIL	Infected	scaffold_10	10408	10508	17.22	44.89	0.383604366
CLFT061	BRAZIL	Infected	scaffold_10	10508	10608	21.99	44.89	0.489864112
CLFT061	BRAZIL	Infected	scaffold_10	10608	10708	22.05	44.89	0.491200713
CLFT061	BRAZIL	Infected	scaffold_10	10708	10808	23.14	44.89	0.51548229
CLFT061	BRAZIL	Infected	scaffold_10	10808	10908	25.54	44.89	0.568946313
CLFT061	BRAZIL	Infected	scaffold_10	10908	11008	23.35	44.89	0.520160392
CLFT061	BRAZIL	Infected	scaffold_10	11008	11108	21.44	44.89	0.47761194
CLFT061	BRAZIL	Infected	scaffold_10	11108	11208	17.9	44.89	0.398752506
CLFT061	BRAZIL	Infected	scaffold_10	11208	11308	17.81	44.89	0.396747605
CLFT061	BRAZIL	Infected	scaffold_10	11308	11408	17.29	44.89	0.385163734
CLFT061	BRAZIL	Infected	scaffold_10	11408	11508	12.82	44.89	0.28558699
CLFT061	BRAZIL	Infected	scaffold_10	11508	11558	4.02	44.89	0.089552239
CLFT061	BRAZIL	Infected	scaffold_10	11561	11661	17.68	44.89	0.393851637
CLFT061	BRAZIL	Infected	scaffold_10	11661	11761	29.46	44.89	0.656270884
CLFT061	BRAZIL	Infected	scaffold_10	11761	11861	36.28	44.89	0.808197817
CLFT061	BRAZIL	Infected	scaffold_10	11861	11961	29.71	44.89	0.661840053
CLFT061	BRAZIL	Infected	scaffold_10	11961	12061	28.95	44.89	0.644909779
CLFT061	BRAZIL	Infected	scaffold_10	12061	12161	30.75	44.89	0.685007797
CLFT061	BRAZIL	Infected	scaffold_10	12161	12261	22.63	44.89	0.504121185
CLFT061	BRAZIL	Infected	scaffold_10	12261	12361	26.36	44.89	0.587213188
CLFT061	BRAZIL	Infected	scaffold_10	12361	12461	29.8	44.89	0.663844954
CLFT061	BRAZIL	Infected	scaffold_10	12461	12561	37.54	44.89	0.836266429
CLFT061	BRAZIL	Infected	scaffold_10	12561	12661	25.53	44.89	0.568723546
CLFT061	BRAZIL	Infected	scaffold_10	12661	12761	21.16	44.89	0.471374471
CLFT061	BRAZIL	Infected	scaffold_10	12761	12861	23.38	44.89	0.520828692
CLFT061	BRAZIL	Infected	scaffold_10	12861	12961	23.29	44.89	0.518823791
CLFT061	BRAZIL	Infected	scaffold_10	12961	13061	32.09	44.89	0.714858543
CLFT061	BRAZIL	Infected	scaffold_10	13061	13161	34.82	44.89	0.775673869
CLFT061	BRAZIL	Infected	scaffold_10	13161	13261	21.64	44.89	0.482067276
CLFT061	BRAZIL	Infected	scaffold_10	13261	13361	12.65	44.89	0.281799955
CLFT061	BRAZIL	Infected	scaffold_10	13361	13397	6.444444	44.89	0.143560793
CLFT061	BRAZIL	Infected	scaffold_10	13640	13740	1.55	44.89	0.034528848
CLFT061	BRAZIL	Infected	scaffold_10	13740	13840	1.6	44.89	0.035642682
CLFT061	BRAZIL	Infected	scaffold_10	13840	13893	1.886792	44.89	0.042031455
CLFT061	BRAZIL	Infected	scaffold_10	13963	14063	3.9	44.89	0.086879038
CLFT061	BRAZIL	Infected	scaffold_10	14063	14163	9.9	44.89	0.220539096
CLFT061	BRAZIL	Infected	scaffold_10	14163	14263	19.83	44.89	0.441746491
CLFT061	BRAZIL	Infected	scaffold_10	14263	14363	18.55	44.89	0.413232346
CLFT061	BRAZIL	Infected	scaffold_10	14363	14463	23.48	44.89	0.52305636
CLFT061	BRAZIL	Infected	scaffold_10	14463	14563	26.75	44.89	0.595901092
CLFT061	BRAZIL	Infected	scaffold_10	14563	14663	29.41	44.89	0.655157051
CLFT061	BRAZIL	Infected	scaffold_10	14663	14763	30.83	44.89	0.686789931
CLFT061	BRAZIL	Infected	scaffold_10	14763	14863	32.62	44.89	0.726665182
CLFT061	BRAZIL	Infected	scaffold_10	14863	14963	30.57	44.89	0.680997995
CLFT061	BRAZIL	Infected	scaffold_10	14963	15063	26.51	44.89	0.590554689
CLFT061	BRAZIL	Infected	scaffold_10	15063	15163	44.35	44.89	0.987970595
CLFT061	BRAZIL	Infected	scaffold_10	15163	15263	41.48	44.89	0.924036534
CLFT061	BRAZIL	Infected	scaffold_10	15263	15363	29.8	44.89	0.663844954
CLFT061	BRAZIL	Infected	scaffold_10	15363	15463	21.75	44.89	0.48451771
CLFT061	BRAZIL	Infected	scaffold_10	15463	15476	10.538462	44.89	0.234761907
CLFT061	BRAZIL	Infected	scaffold_10	15477	15577	5.77	44.89	0.128536422
CLFT061	BRAZIL	Infected	scaffold_10	15577	15677	17.27	44.89	0.3847182
CLFT061	BRAZIL	Infected	scaffold_10	15677	15777	21.24	44.89	0.473156605
CLFT061	BRAZIL	Infected	scaffold_10	15777	15877	39.75	44.89	0.885497884
CLFT061	BRAZIL	Infected	scaffold_10	15877	15977	46.95	44.89	1.045889953
CLFT061	BRAZIL	Infected	scaffold_10	15977	16077	45.1	44.89	1.004678102
CLFT061	BRAZIL	Infected	scaffold_10	16077	16177	28.34	44.89	0.631321007
CLFT061	BRAZIL	Infected	scaffold_10	16177	16277	12.83	44.89	0.285809757
CLFT061	BRAZIL	Infected	scaffold_10	16277	16377	42.76	44.89	0.952550679
CLFT061	BRAZIL	Infected	scaffold_10	16377	16477	56.32	44.89	1.25462241
CLFT061	BRAZIL	Infected	scaffold_10	16477	16577	60.43	44.89	1.34617955
CLFT061	BRAZIL	Infected	scaffold_10	16577	16677	70.45	44.89	1.569391847
CLFT061	BRAZIL	Infected	scaffold_10	16677	16777	72.79	44.89	1.621519269
CLFT061	BRAZIL	Infected	scaffold_10	16777	16877	81.64	44.89	1.818667855
CLFT061	BRAZIL	Infected	scaffold_10	16877	16977	76.27	44.89	1.699042103
CLFT061	BRAZIL	Infected	scaffold_10	16977	17077	52.51	44.89	1.169748274
CLFT061	BRAZIL	Infected	scaffold_10	17077	17177	55.91	44.89	1.245488973
CLFT061	BRAZIL	Infected	scaffold_10	17177	17277	54.86	44.89	1.222098463
CLFT061	BRAZIL	Infected	scaffold_10	17277	17377	51.49	44.89	1.147026064
CLFT061	BRAZIL	Infected	scaffold_10	17377	17477	58.41	44.89	1.301180664
CLFT061	BRAZIL	Infected	scaffold_10	17477	17577	53.37	44.89	1.188906215
CLFT061	BRAZIL	Infected	scaffold_10	17577	17677	51.63	44.89	1.150144798
CLFT061	BRAZIL	Infected	scaffold_10	17677	17777	56.25	44.89	1.253063043
CLFT061	BRAZIL	Infected	scaffold_10	17777	17877	65.58	44.89	1.460904433
CLFT061	BRAZIL	Infected	scaffold_10	17877	17977	88.68	44.89	1.975495656
CLFT061	BRAZIL	Infected	scaffold_10	17977	18077	88.87	44.89	1.979728225
CLFT061	BRAZIL	Infected	scaffold_10	18077	18177	79.52	44.89	1.771441301
CLFT061	BRAZIL	Infected	scaffold_10	18177	18277	82.15	44.89	1.83002896
CLFT061	BRAZIL	Infected	scaffold_10	18277	18377	63.67	44.89	1.418355981
CLFT061	BRAZIL	Infected	scaffold_10	18377	18477	55.43	44.89	1.234796168
CLFT061	BRAZIL	Infected	scaffold_10	18477	18577	42.21	44.89	0.940298507
CLFT061	BRAZIL	Infected	scaffold_10	18577	18677	43.26	44.89	0.963689018
CLFT061	BRAZIL	Infected	scaffold_10	18677	18777	30.76	44.89	0.685230564
CLFT061	BRAZIL	Infected	scaffold_10	18777	18877	27.04	44.89	0.602361328
CLFT061	BRAZIL	Infected	scaffold_10	18877	18977	24.55	44.89	0.546892404
CLFT061	BRAZIL	Infected	scaffold_10	18977	19077	23.08	44.89	0.514145689
CLFT061	BRAZIL	Infected	scaffold_10	19077	19177	22.52	44.89	0.501670751
CLFT061	BRAZIL	Infected	scaffold_10	19177	19277	52.1	44.89	1.160614836
CLFT061	BRAZIL	Infected	scaffold_10	19277	19377	58.43	44.89	1.301626197
CLFT061	BRAZIL	Infected	scaffold_10	19377	19477	77.58	44.89	1.728224549
CLFT061	BRAZIL	Infected	scaffold_10	19477	19577	79.01	44.89	1.760080196
CLFT061	BRAZIL	Infected	scaffold_10	19577	19677	88.44	44.89	1.970149254
CLFT061	BRAZIL	Infected	scaffold_10	19677	19777	80.84	44.89	1.800846514
CLFT061	BRAZIL	Infected	scaffold_10	19777	19877	74.88	44.89	1.668077523
CLFT061	BRAZIL	Infected	scaffold_10	19877	19977	87.64	44.89	1.952327913
CLFT061	BRAZIL	Infected	scaffold_10	19977	20077	62.73	44.89	1.397415906
CLFT061	BRAZIL	Infected	scaffold_10	20077	20177	56.08	44.89	1.249276008
CLFT061	BRAZIL	Infected	scaffold_10	20177	20277	49.46	44.89	1.101804411
CLFT061	BRAZIL	Infected	scaffold_10	20277	20377	53.67	44.89	1.195589218
CLFT061	BRAZIL	Infected	scaffold_10	20377	20477	65.21	44.89	1.452662063
CLFT061	BRAZIL	Infected	scaffold_10	20477	20577	66.17	44.89	1.474047672
CLFT061	BRAZIL	Infected	scaffold_10	20577	20677	73.28	44.89	1.632434841
CLFT061	BRAZIL	Infected	scaffold_10	20677	20777	63.82	44.89	1.421697483
CLFT061	BRAZIL	Infected	scaffold_10	20777	20877	41.16	44.89	0.916907997
CLFT061	BRAZIL	Infected	scaffold_10	20877	20977	37.46	44.89	0.834484295
CLFT061	BRAZIL	Infected	scaffold_10	20977	21077	51	44.89	1.136110492
CLFT061	BRAZIL	Infected	scaffold_10	21077	21177	39.71	44.89	0.884606817
CLFT061	BRAZIL	Infected	scaffold_10	21177	21277	21.69	44.89	0.483181109
CLFT061	BRAZIL	Infected	scaffold_10	21277	21377	18.72	44.89	0.417019381
CLFT061	BRAZIL	Infected	scaffold_10	21377	21477	21.41	44.89	0.47694364
CLFT061	BRAZIL	Infected	scaffold_10	21477	21577	21.78	44.89	0.48518601
CLFT061	BRAZIL	Infected	scaffold_10	21577	21677	25.97	44.89	0.578525284
CLFT061	BRAZIL	Infected	scaffold_10	21677	21777	31.84	44.89	0.709289374
CLFT061	BRAZIL	Infected	scaffold_10	21777	21877	26.05	44.89	0.580307418
CLFT061	BRAZIL	Infected	scaffold_10	21877	21977	20.13	44.89	0.448429494
CLFT061	BRAZIL	Infected	scaffold_10	21977	22077	24.42	44.89	0.543996436
CLFT061	BRAZIL	Infected	scaffold_10	22077	22177	29.6	44.89	0.659389619
CLFT061	BRAZIL	Infected	scaffold_10	22177	22277	25.79	44.89	0.574515482
CLFT061	BRAZIL	Infected	scaffold_10	22277	22377	28.25	44.89	0.629316106
CLFT061	BRAZIL	Infected	scaffold_10	22377	22477	20.98	44.89	0.467364669
CLFT061	BRAZIL	Infected	scaffold_10	22477	22577	26.96	44.89	0.600579194
CLFT061	BRAZIL	Infected	scaffold_10	22577	22677	24.77	44.89	0.551793272
CLFT061	BRAZIL	Infected	scaffold_10	22677	22777	27.2	44.89	0.605925596
CLFT061	BRAZIL	Infected	scaffold_10	22777	22877	25.42	44.89	0.566273112
CLFT061	BRAZIL	Infected	scaffold_10	22877	22977	35.64	44.89	0.793940744
CLFT061	BRAZIL	Infected	scaffold_10	22977	23077	33.82	44.89	0.753397193
CLFT061	BRAZIL	Infected	scaffold_10	23077	23177	29.17	44.89	0.649810648
CLFT061	BRAZIL	Infected	scaffold_10	23177	23277	28.5	44.89	0.634885275
CLFT061	BRAZIL	Infected	scaffold_10	23277	23377	32.78	44.89	0.73022945
CLFT061	BRAZIL	Infected	scaffold_10	23377	23477	33.85	44.89	0.754065493
CLFT061	BRAZIL	Infected	scaffold_10	23477	23577	29.39	44.89	0.654711517
CLFT061	BRAZIL	Infected	scaffold_10	23577	23677	29.16	44.89	0.649587881
CLFT061	BRAZIL	Infected	scaffold_10	23677	23777	35.94	44.89	0.800623747
CLFT061	BRAZIL	Infected	scaffold_10	23777	23877	37.44	44.89	0.834038761
CLFT061	BRAZIL	Infected	scaffold_10	23877	23977	39.7	44.89	0.88438405
CLFT061	BRAZIL	Infected	scaffold_10	23977	24077	31.62	44.89	0.704388505
CLFT061	BRAZIL	Infected	scaffold_10	24077	24177	26.33	44.89	0.586544888
CLFT061	BRAZIL	Infected	scaffold_10	24177	24277	32.35	44.89	0.720650479
CLFT061	BRAZIL	Infected	scaffold_10	24277	24377	23.6	44.89	0.525729561
CLFT061	BRAZIL	Infected	scaffold_10	24377	24477	22.59	44.89	0.503230118
CLFT061	BRAZIL	Infected	scaffold_10	24477	24577	22.53	44.89	0.501893517
CLFT061	BRAZIL	Infected	scaffold_10	24577	24677	22.75	44.89	0.506794386
CLFT061	BRAZIL	Infected	scaffold_10	24677	24777	16.61	44.89	0.370015594
CLFT061	BRAZIL	Infected	scaffold_10	24777	24877	16.8	44.89	0.374248162
CLFT061	BRAZIL	Infected	scaffold_10	24877	24977	14.57	44.89	0.324571174
CLFT061	BRAZIL	Infected	scaffold_10	24977	25077	12.5	44.89	0.278458454
CLFT061	BRAZIL	Infected	scaffold_10	25077	25177	16.89	44.89	0.376253063
CLFT061	BRAZIL	Infected	scaffold_10	25177	25277	25.13	44.89	0.559812876
CLFT061	BRAZIL	Infected	scaffold_10	25277	25377	23.78	44.89	0.529739363
CLFT061	BRAZIL	Infected	scaffold_10	25377	25477	21.66	44.89	0.482512809
CLFT061	BRAZIL	Infected	scaffold_10	25477	25577	20.61	44.89	0.459122299
CLFT061	BRAZIL	Infected	scaffold_10	25577	25677	22.14	44.89	0.493205614
CLFT061	BRAZIL	Infected	scaffold_10	25677	25777	31.9	44.89	0.710625975
CLFT061	BRAZIL	Infected	scaffold_10	26177	26277	63.64	44.89	1.417687681
CLFT061	BRAZIL	Infected	scaffold_10	26277	26377	56.61	44.89	1.261082646
CLFT061	BRAZIL	Infected	scaffold_10	26377	26477	55.12	44.89	1.227890399
CLFT061	BRAZIL	Infected	scaffold_10	26477	26577	52.2	44.89	1.162842504
CLFT061	BRAZIL	Infected	scaffold_10	26577	26677	53.68	44.89	1.195811985
CLFT061	BRAZIL	Infected	scaffold_10	26677	26777	43.13	44.89	0.96079305
CLFT061	BRAZIL	Infected	scaffold_10	26777	26877	51.91	44.89	1.156382268
CLFT061	BRAZIL	Infected	scaffold_10	26877	26977	49.89	44.89	1.111383382
CLFT061	BRAZIL	Infected	scaffold_10	26977	27077	52.45	44.89	1.168411673
CLFT061	BRAZIL	Infected	scaffold_10	27077	27177	50.01	44.89	1.114056583
CLFT061	BRAZIL	Infected	scaffold_10	27177	27277	40.79	44.89	0.908665627
CLFT061	BRAZIL	Infected	scaffold_10	27277	27377	48.09	44.89	1.071285364
CLFT061	BRAZIL	Infected	scaffold_10	27377	27477	41.03	44.89	0.914012029
CLFT061	BRAZIL	Infected	scaffold_10	27477	27577	33.78	44.89	0.752506126
CLFT061	BRAZIL	Infected	scaffold_10	27577	27677	30.19	44.89	0.672532858
CLFT061	BRAZIL	Infected	scaffold_10	27677	27777	24.69	44.89	0.550011138
CLFT061	BRAZIL	Infected	scaffold_10	27777	27877	27.64	44.89	0.615727333
CLFT061	BRAZIL	Infected	scaffold_10	27877	27977	20.07	44.89	0.447092894
CLFT061	BRAZIL	Infected	scaffold_10	27977	28077	26.28	44.89	0.585431054
CLFT061	BRAZIL	Infected	scaffold_10	28077	28177	30.47	44.89	0.678770327
CLFT061	BRAZIL	Infected	scaffold_10	28177	28277	37.07	44.89	0.825796391
CLFT061	BRAZIL	Infected	scaffold_10	28277	28377	45.34	44.89	1.010024504
CLFT061	BRAZIL	Infected	scaffold_10	28377	28477	44.6	44.89	0.993539764
CLFT061	BRAZIL	Infected	scaffold_10	28477	28577	38.35	44.89	0.854310537
CLFT061	BRAZIL	Infected	scaffold_10	28577	28677	27.79	44.89	0.619068835
CLFT061	BRAZIL	Infected	scaffold_10	28677	28777	26.98	44.89	0.601024727
CLFT061	BRAZIL	Infected	scaffold_10	28777	28877	28.68	44.89	0.638895077
CLFT061	BRAZIL	Infected	scaffold_10	28877	28977	32.03	44.89	0.713521943
CLFT061	BRAZIL	Infected	scaffold_10	28977	29077	31.04	44.89	0.691468033
CLFT061	BRAZIL	Infected	scaffold_10	29077	29177	31.49	44.89	0.701492537
CLFT061	BRAZIL	Infected	scaffold_10	29177	29277	25.81	44.89	0.574961016
CLFT061	BRAZIL	Infected	scaffold_10	29277	29377	22.84	44.89	0.508799287
CLFT061	BRAZIL	Infected	scaffold_10	29377	29477	30.07	44.89	0.669859657
CLFT061	BRAZIL	Infected	scaffold_10	29477	29577	32.81	44.89	0.73089775
CLFT061	BRAZIL	Infected	scaffold_10	29577	29677	25.95	44.89	0.578079751
CLFT061	BRAZIL	Infected	scaffold_10	29677	29777	25.73	44.89	0.573178882
CLFT061	BRAZIL	Infected	scaffold_10	29777	29877	30.33	44.89	0.675651593
CLFT061	BRAZIL	Infected	scaffold_10	29877	29977	45.13	44.89	1.005346402
CLFT061	BRAZIL	Infected	scaffold_10	29977	30077	49.67	44.89	1.106482513
CLFT061	BRAZIL	Infected	scaffold_10	30077	30177	40.57	44.89	0.903764758
CLFT061	BRAZIL	Infected	scaffold_10	30177	30277	28.84	44.89	0.642459345
CLFT061	BRAZIL	Infected	scaffold_10	30277	30377	19.52	44.89	0.434840722
CLFT061	BRAZIL	Infected	scaffold_10	30377	30477	22.81	44.89	0.508130987
CLFT061	BRAZIL	Infected	scaffold_10	30477	30577	23.38	44.89	0.520828692
CLFT061	BRAZIL	Infected	scaffold_10	30577	30677	17.16	44.89	0.382267766
CLFT061	BRAZIL	Infected	scaffold_10	30677	30777	31.7	44.89	0.706170639
CLFT061	BRAZIL	Infected	scaffold_10	30777	30877	32.69	44.89	0.728224549
CLFT061	BRAZIL	Infected	scaffold_10	30877	30977	28.88	44.89	0.643350412
CLFT061	BRAZIL	Infected	scaffold_10	30977	31077	33.63	44.89	0.749164625
CLFT061	BRAZIL	Infected	scaffold_10	31077	31177	26.11	44.89	0.581644019
CLFT061	BRAZIL	Infected	scaffold_10	31177	31277	26.94	44.89	0.60013366
CLFT061	BRAZIL	Infected	scaffold_10	31277	31377	28.85	44.89	0.642682112
CLFT061	BRAZIL	Infected	scaffold_10	31377	31477	18.32	44.89	0.40810871
CLFT061	BRAZIL	Infected	scaffold_10	31477	31577	29.26	44.89	0.651815549
CLFT061	BRAZIL	Infected	scaffold_10	31577	31677	38.64	44.89	0.860770773
CLFT061	BRAZIL	Infected	scaffold_10	31677	31777	43.55	44.89	0.970149254
CLFT061	BRAZIL	Infected	scaffold_10	31777	31877	42.84	44.89	0.954332814
CLFT061	BRAZIL	Infected	scaffold_10	31877	31977	61.71	44.89	1.374693696
CLFT061	BRAZIL	Infected	scaffold_10	31977	32077	47.05	44.89	1.048117621
CLFT061	BRAZIL	Infected	scaffold_10	32077	32177	29.71	44.89	0.661840053
CLFT061	BRAZIL	Infected	scaffold_10	32177	32277	39.24	44.89	0.874136779
CLFT061	BRAZIL	Infected	scaffold_10	32277	32377	34.77	44.89	0.774560036
