Strain	Lineage	BddV1	scaffold_10	start	end	coverage	Average_NCL	Coverage/AverageNCL
CCB1	CAPE	Infected	scaffold_10	199886	200886	71.854	75.13	0.956395581
CCB1	CAPE	Infected	scaffold_10	200886	201886	75.382	75.13	1.003354186
CCB1	CAPE	Infected	scaffold_10	201886	202886	81.326	75.13	1.082470385
CCB1	CAPE	Infected	scaffold_10	202886	203886	76.336	75.13	1.016052176
CCB1	CAPE	Infected	scaffold_10	203886	204886	79.935	75.13	1.06395581
CCB1	CAPE	Infected	scaffold_10	204886	205886	81.479	75.13	1.084506855
CCB1	CAPE	Infected	scaffold_10	205886	206886	82.444	75.13	1.097351258
CCB1	CAPE	Infected	scaffold_10	206886	207886	80.96	75.13	1.077598829
CCB1	CAPE	Infected	scaffold_10	207886	208886	89.356	75.13	1.18935179
CCB1	CAPE	Infected	scaffold_10	208886	209886	71.779	75.13	0.955397311
CCB1	CAPE	Infected	scaffold_10	209886	210886	76.019	75.13	1.011832823
CCB1	CAPE	Infected	scaffold_10	210886	211886	77.416	75.13	1.030427259
CCB1	CAPE	Infected	scaffold_10	211886	212886	85.462	75.13	1.137521629
CCB1	CAPE	Infected	scaffold_10	212886	213886	76.279	75.13	1.015293491
CCB1	CAPE	Infected	scaffold_10	213886	214886	78.929	75.13	1.050565686
CCB1	CAPE	Infected	scaffold_10	214886	215886	82.103	75.13	1.092812458
CCB1	CAPE	Infected	scaffold_10	215886	216886	74.993	75.13	0.998176494
CCB1	CAPE	Infected	scaffold_10	216886	217886	81.192	75.13	1.08068681
CCB1	CAPE	Infected	scaffold_10	217886	218886	82.461	75.13	1.097577532
CCB1	CAPE	Infected	scaffold_10	218886	219886	80.418	75.13	1.070384667
CCB1	CAPE	Infected	scaffold_10	219886	220886	79.504	75.13	1.058219087
CCB1	CAPE	Infected	scaffold_10	220886	221886	76.553	75.13	1.018940503
CCB1	CAPE	Infected	scaffold_10	221886	222886	62.017	75.13	0.825462532
CCB1	CAPE	Infected	scaffold_10	222886	223886	81.529	75.13	1.085172368
CCB1	CAPE	Infected	scaffold_10	223886	224886	78.666	75.13	1.047065087
CCB1	CAPE	Infected	scaffold_10	224886	225886	73.314	75.13	0.975828564
CCB1	CAPE	Infected	scaffold_10	225886	226886	82.236	75.13	1.094582723
CCB1	CAPE	Infected	scaffold_10	226886	227886	80.45	75.13	1.070810595
CCB1	CAPE	Infected	scaffold_10	227886	228886	79.029	75.13	1.051896712
CCB1	CAPE	Infected	scaffold_10	228886	229886	90.035	75.13	1.198389458
CCB1	CAPE	Infected	scaffold_10	229886	230886	83.781	75.13	1.115147078
CCB1	CAPE	Infected	scaffold_10	230886	231886	77.852	75.13	1.036230534
CCB1	CAPE	Infected	scaffold_10	231886	232886	66.011	75.13	0.878623719
CCB1	CAPE	Infected	scaffold_10	232886	233886	78.466	75.13	1.044403035
CCB1	CAPE	Infected	scaffold_10	233886	234886	87.467	75.13	1.164208705
CCB1	CAPE	Infected	scaffold_10	234886	235886	83.841	75.13	1.115945694
CCB1	CAPE	Infected	scaffold_10	235886	236886	75.472	75.13	1.00455211
CCB1	CAPE	Infected	scaffold_10	236886	237886	85.197	75.13	1.13399441
CCB1	CAPE	Infected	scaffold_10	237886	238886	67.608	75.13	0.899880208
CCB1	CAPE	Infected	scaffold_10	238886	239886	66.383	75.13	0.883575136
CCB1	CAPE	Infected	scaffold_10	239886	240886	76.728	75.13	1.021269799
CCB1	CAPE	Infected	scaffold_10	240886	241886	73.938	75.13	0.984134167
CCB1	CAPE	Infected	scaffold_10	241886	242886	72.153	75.13	0.960375349
CCB1	CAPE	Infected	scaffold_10	242886	243886	75.442	75.13	1.004152802
CCB1	CAPE	Infected	scaffold_10	243886	244886	85.402	75.13	1.136723013
CCB1	CAPE	Infected	scaffold_10	244886	245886	76.666	75.13	1.020444563
CCB1	CAPE	Infected	scaffold_10	245886	246886	79.985	75.13	1.064621323
CCB1	CAPE	Infected	scaffold_10	246886	247886	82.808	75.13	1.102196193
CCB1	CAPE	Infected	scaffold_10	247886	248886	84.381	75.13	1.123133236
CCB1	CAPE	Infected	scaffold_10	248886	249886	77.181	75.13	1.027299348
CCB1	CAPE	Infected	scaffold_10	249886	250886	71.364	75.13	0.949873553
CCB1	CAPE	Infected	scaffold_10	250886	251886	75.032	75.13	0.998695594
CCB1	CAPE	Infected	scaffold_10	251886	252886	70.603	75.13	0.939744443
CCB1	CAPE	Infected	scaffold_10	252886	253886	79.097	75.13	1.05280181
CCB1	CAPE	Infected	scaffold_10	253886	254886	81.703	75.13	1.087488354
CCB1	CAPE	Infected	scaffold_10	254886	255886	79.499	75.13	1.058152536
CCB1	CAPE	Infected	scaffold_10	255886	256886	82.609	75.13	1.099547451
CCB1	CAPE	Infected	scaffold_10	256886	257886	82.082	75.13	1.092532943
CCB1	CAPE	Infected	scaffold_10	257886	258886	83.004	75.13	1.104805005
CCB1	CAPE	Infected	scaffold_10	258886	259886	72.369	75.13	0.963250366
CCB1	CAPE	Infected	scaffold_10	259886	260886	78.046	75.13	1.038812725
CCB1	CAPE	Infected	scaffold_10	260886	261886	87.463	75.13	1.164155464
CCB1	CAPE	Infected	scaffold_10	261886	262886	81.388	75.13	1.083295621
CCB1	CAPE	Infected	scaffold_10	262886	263886	73.07	75.13	0.97258086
CCB1	CAPE	Infected	scaffold_10	263886	264886	80.246	75.13	1.068095301
CCB1	CAPE	Infected	scaffold_10	264886	265886	79.19	75.13	1.054039665
CCB1	CAPE	Infected	scaffold_10	265886	266886	77.369	75.13	1.029801677
CCB1	CAPE	Infected	scaffold_10	266886	267886	76.397	75.13	1.016864102
CCB1	CAPE	Infected	scaffold_10	267886	268886	75.577	75.13	1.005949687
CCB1	CAPE	Infected	scaffold_10	268886	269886	83.049	75.13	1.105403966
CCB1	CAPE	Infected	scaffold_10	269886	270886	85.241	75.13	1.134580061
CCB1	CAPE	Infected	scaffold_10	270886	271886	82.263	75.13	1.0949421
CCB1	CAPE	Infected	scaffold_10	271886	272886	86.283	75.13	1.148449354
CCB1	CAPE	Infected	scaffold_10	272886	273886	72.833	75.13	0.969426328
CCB1	CAPE	Infected	scaffold_10	273886	274886	78.026	75.13	1.038546519
CCB1	CAPE	Infected	scaffold_10	274886	275886	84.547	75.13	1.125342739
CCB1	CAPE	Infected	scaffold_10	275886	276886	80.66	75.13	1.07360575
CCB1	CAPE	Infected	scaffold_10	276886	277886	74.358	75.13	0.989724478
CCB1	CAPE	Infected	scaffold_10	277886	278886	77.546	75.13	1.032157594
CCB1	CAPE	Infected	scaffold_10	278886	279886	87.492	75.13	1.164541461
CCB1	CAPE	Infected	scaffold_10	279886	280886	81.635	75.13	1.086583256
CCB1	CAPE	Infected	scaffold_10	280886	281886	80.59	75.13	1.072674032
CCB1	CAPE	Infected	scaffold_10	281886	282886	85.324	75.13	1.135684813
CCB1	CAPE	Infected	scaffold_10	282886	283886	86.366	75.13	1.149554106
CCB1	CAPE	Infected	scaffold_10	283886	284886	80.772	75.13	1.075096499
CCB1	CAPE	Infected	scaffold_10	284886	285886	89.319	75.13	1.188859311
CCB1	CAPE	Infected	scaffold_10	285886	286886	77.009	75.13	1.025009983
CCB1	CAPE	Infected	scaffold_10	286886	287886	83.194	75.13	1.107333954
CCB1	CAPE	Infected	scaffold_10	287886	288886	78.158	75.13	1.040303474
CCB1	CAPE	Infected	scaffold_10	288886	289886	78.103	75.13	1.03957141
CCB1	CAPE	Infected	scaffold_10	289886	290886	85.711	75.13	1.140835884
CCB1	CAPE	Infected	scaffold_10	290886	291886	80.799	75.13	1.075455876
CCB1	CAPE	Infected	scaffold_10	291886	292886	82.041	75.13	1.091987222
CCB1	CAPE	Infected	scaffold_10	292886	293886	77.418	75.13	1.03045388
CCB1	CAPE	Infected	scaffold_10	293886	294886	78.915	75.13	1.050379342
CCB1	CAPE	Infected	scaffold_10	294886	295886	70.722	75.13	0.941328364
CCB1	CAPE	Infected	scaffold_10	295886	296886	76.664	75.13	1.020417942
CCB1	CAPE	Infected	scaffold_10	296886	297886	82.85	75.13	1.102755224
CCB1	CAPE	Infected	scaffold_10	297886	298886	78.572	75.13	1.045813923
CCB1	CAPE	Infected	scaffold_10	298886	299886	67.352	75.13	0.896472781
CCB1	CAPE	Infected	scaffold_10	299886	300886	77.848	75.13	1.036177293
CCB1	CAPE	Infected	scaffold_10	300886	301886	78.729	75.13	1.047903634
CCB1	CAPE	Infected	scaffold_10	301886	302886	69.554	75.13	0.925781978
