Scaffold	Start	Coverage	Blanked
scaffold_10	21753	289	554
scaffold_10	21754	299	555
scaffold_10	21755	300	556
scaffold_10	21756	300	557
scaffold_10	21757	303	558
scaffold_10	21758	303	559
scaffold_10	21759	305	560
scaffold_10	21760	331	561
scaffold_10	21761	332	562
scaffold_10	21762	329	563
scaffold_10	21763	331	564
scaffold_10	21764	332	565
scaffold_10	21765	331	566
scaffold_10	21766	336	567
scaffold_10	21767	342	568
scaffold_10	21768	347	569
scaffold_10	21769	349	570
scaffold_10	21770	352	571
scaffold_10	21771	362	572
scaffold_10	21772	362	573
scaffold_10	21773	365	574
scaffold_10	21774	363	575
scaffold_10	21775	354	576
scaffold_10	21776	370	577
scaffold_10	21777	372	578
scaffold_10	21778	371	579
scaffold_10	21779	374	580
scaffold_10	21780	375	581
scaffold_10	21781	377	582
scaffold_10	21782	375	583
scaffold_10	21783	382	584
scaffold_10	21784	383	585
scaffold_10	21785	383	586
scaffold_10	21786	387	587
scaffold_10	21787	386	588
scaffold_10	21788	385	589
scaffold_10	21789	386	590
scaffold_10	21790	388	591
scaffold_10	21791	391	592
scaffold_10	21792	393	593
scaffold_10	21793	391	594
scaffold_10	21794	393	595
scaffold_10	21795	393	596
scaffold_10	21796	395	597
scaffold_10	21797	400	598
scaffold_10	21798	398	599
scaffold_10	21799	399	600
scaffold_10	21800	401	601
scaffold_10	21801	408	602
scaffold_10	21802	409	603
scaffold_10	21803	410	604
scaffold_10	21804	410	605
scaffold_10	21805	413	606
scaffold_10	21806	414	607
scaffold_10	21807	416	608
scaffold_10	21808	410	609
scaffold_10	21809	416	610
scaffold_10	21810	411	611
scaffold_10	21811	418	612
scaffold_10	21812	416	613
scaffold_10	21813	406	614
scaffold_10	21814	416	615
scaffold_10	21815	434	616
scaffold_10	21816	436	617
scaffold_10	21817	433	618
scaffold_10	21818	436	619
scaffold_10	21819	432	620
scaffold_10	21820	437	621
scaffold_10	21821	435	622
scaffold_10	21822	434	623
scaffold_10	21823	442	624
scaffold_10	21824	442	625
scaffold_10	21825	440	626
scaffold_10	21826	442	627
scaffold_10	21827	445	628
scaffold_10	21828	450	629
scaffold_10	21829	451	630
scaffold_10	21830	449	631
scaffold_10	21831	450	632
scaffold_10	21832	452	633
scaffold_10	21833	452	634
scaffold_10	21834	452	635
scaffold_10	21835	456	636
scaffold_10	21836	457	637
scaffold_10	21837	458	638
scaffold_10	21838	458	639
scaffold_10	21839	457	640
scaffold_10	21840	456	641
scaffold_10	21841	458	642
scaffold_10	21842	457	643
scaffold_10	21843	454	644
scaffold_10	21844	460	645
scaffold_10	21845	470	646
scaffold_10	21846	468	647
scaffold_10	21847	477	648
scaffold_10	21848	481	649
scaffold_10	21849	470	650
scaffold_10	21850	480	651
scaffold_10	21851	470	652
scaffold_10	21852	469	653
scaffold_10	21853	461	654
scaffold_10	21854	455	655
scaffold_10	21855	452	656
scaffold_10	21856	454	657
scaffold_10	21857	464	658
scaffold_10	21858	468	659
scaffold_10	21859	459	660
scaffold_10	21860	456	661
scaffold_10	21861	450	662
scaffold_10	21862	447	663
scaffold_10	21863	449	664
scaffold_10	21864	430	665
scaffold_10	21865	437	666
scaffold_10	21866	431	667
scaffold_10	21867	458	668
scaffold_10	21868	464	669
scaffold_10	21869	459	670
scaffold_10	21870	457	671
scaffold_10	21871	465	672
scaffold_10	21872	455	673
scaffold_10	21873	465	674
scaffold_10	21874	460	675
scaffold_10	21875	474	676
scaffold_10	21876	473	677
scaffold_10	21877	477	678
scaffold_10	21878	473	679
scaffold_10	21879	469	680
scaffold_10	21880	471	681
scaffold_10	21881	467	682
scaffold_10	21882	484	683
scaffold_10	21883	486	684
scaffold_10	21884	485	685
scaffold_10	21885	485	686
scaffold_10	21886	482	687
scaffold_10	21887	489	688
scaffold_10	21888	490	689
scaffold_10	21889	497	690
scaffold_10	21890	494	691
scaffold_10	21891	494	692
scaffold_10	21892	496	693
scaffold_10	21893	489	694
scaffold_10	21894	495	695
scaffold_10	21895	499	696
scaffold_10	21896	495	697
scaffold_10	21897	493	698
scaffold_10	21898	484	699
scaffold_10	21899	479	700
scaffold_10	21900	486	701
scaffold_10	21901	493	702
scaffold_10	21902	493	703
scaffold_10	21903	487	704
scaffold_10	21904	483	705
scaffold_10	21905	482	706
scaffold_10	21906	481	707
scaffold_10	21907	490	708
scaffold_10	21908	492	709
scaffold_10	21909	503	710
scaffold_10	21910	479	711
scaffold_10	21911	479	712
scaffold_10	21912	489	713
scaffold_10	21913	493	714
scaffold_10	21914	496	715
scaffold_10	21915	494	716
scaffold_10	21916	513	717
scaffold_10	21917	500	718
scaffold_10	21918	503	719
scaffold_10	21919	508	720
scaffold_10	21920	510	721
scaffold_10	21921	518	722
scaffold_10	21922	508	723
scaffold_10	21923	510	724
scaffold_10	21924	507	725
scaffold_10	21925	512	726
scaffold_10	21926	520	727
scaffold_10	21927	517	728
scaffold_10	21928	517	729
scaffold_10	21929	507	730
scaffold_10	21930	525	731
scaffold_10	21931	524	732
scaffold_10	21932	540	733
scaffold_10	21933	527	734
scaffold_10	21934	540	735
scaffold_10	21935	551	736
scaffold_10	21936	549	737
scaffold_10	21937	555	738
scaffold_10	21938	563	739
scaffold_10	21939	567	740
scaffold_10	21940	565	741
scaffold_10	21941	571	742
scaffold_10	21942	562	743
scaffold_10	21943	567	744
scaffold_10	21944	576	745
scaffold_10	21945	578	746
scaffold_10	21946	572	747
scaffold_10	21947	558	748
scaffold_10	21948	561	749
scaffold_10	21949	582	750
scaffold_10	21950	587	751
scaffold_10	21951	589	752
scaffold_10	21952	596	753
scaffold_10	21953	596	754
scaffold_10	21954	592	755
scaffold_10	21955	591	756
scaffold_10	21956	587	757
scaffold_10	21957	586	758
scaffold_10	21958	589	759
scaffold_10	21959	590	760
scaffold_10	21960	593	761
scaffold_10	21961	593	762
scaffold_10	21962	587	763
scaffold_10	21963	588	764
scaffold_10	21964	590	765
scaffold_10	21965	587	766
scaffold_10	21966	584	767
scaffold_10	21967	585	768
scaffold_10	21968	586	769
scaffold_10	21969	582	770
scaffold_10	21970	577	771
scaffold_10	21971	588	772
scaffold_10	21972	590	773
scaffold_10	21973	587	774
scaffold_10	21974	586	775
scaffold_10	21975	591	776
scaffold_10	21976	588	777
scaffold_10	21977	596	778
scaffold_10	21978	606	779
scaffold_10	21979	604	780
scaffold_10	21980	608	781
scaffold_10	21981	595	782
scaffold_10	21982	604	783
scaffold_10	21983	604	784
scaffold_10	21984	604	785
scaffold_10	21985	601	786
scaffold_10	21986	604	787
scaffold_10	21987	603	788
scaffold_10	21988	612	789
scaffold_10	21989	610	790
scaffold_10	21990	619	791
scaffold_10	21991	625	792
scaffold_10	21992	612	793
scaffold_10	21993	617	794
scaffold_10	21994	610	795
scaffold_10	21995	609	796
scaffold_10	21996	620	797
scaffold_10	21997	618	798
scaffold_10	21998	608	799
scaffold_10	21999	609	800
scaffold_10	22000	599	801
scaffold_10	22001	622	802
scaffold_10	22002	613	803
scaffold_10	22003	624	804
scaffold_10	22004	619	805
scaffold_10	22005	621	806
scaffold_10	22006	607	807
scaffold_10	22007	609	808
scaffold_10	22008	605	809
scaffold_10	22009	607	810
scaffold_10	22010	613	811
scaffold_10	22011	599	812
scaffold_10	22012	612	813
scaffold_10	22013	605	814
scaffold_10	22014	607	815
scaffold_10	22015	608	816
scaffold_10	22016	614	817
scaffold_10	22017	604	818
scaffold_10	22018	604	819
scaffold_10	22019	606	820
scaffold_10	22020	618	821
scaffold_10	22021	619	822
scaffold_10	22022	619	823
scaffold_10	22023	621	824
scaffold_10	22024	621	825
scaffold_10	22025	629	826
scaffold_10	22026	622	827
scaffold_10	22027	627	828
scaffold_10	22028	625	829
scaffold_10	22029	634	830
scaffold_10	22030	634	831
scaffold_10	22031	634	832
scaffold_10	22032	623	833
scaffold_10	22033	620	834
scaffold_10	22034	619	835
scaffold_10	22035	614	836
scaffold_10	22036	624	837
scaffold_10	22037	621	838
scaffold_10	22038	609	839
scaffold_10	22039	608	840
scaffold_10	22040	610	841
scaffold_10	22041	600	842
scaffold_10	22042	605	843
scaffold_10	22043	608	844
scaffold_10	22044	596	845
scaffold_10	22045	576	846
scaffold_10	22046	590	847
scaffold_10	22047	596	848
scaffold_10	22048	598	849
scaffold_10	22049	600	850
scaffold_10	22050	599	851
scaffold_10	22051	585	852
scaffold_10	22052	586	853
scaffold_10	22053	594	854
scaffold_10	22054	591	855
scaffold_10	22055	600	856
scaffold_10	22056	599	857
scaffold_10	22057	594	858
scaffold_10	22058	590	859
scaffold_10	22059	594	860
scaffold_10	22060	602	861
scaffold_10	22061	601	862
scaffold_10	22062	604	863
scaffold_10	22063	607	864
scaffold_10	22064	599	865
scaffold_10	22065	604	866
scaffold_10	22066	592	867
scaffold_10	22067	600	868
scaffold_10	22068	596	869
scaffold_10	22069	592	870
scaffold_10	22070	592	871
scaffold_10	22071	579	872
scaffold_10	22072	580	873
scaffold_10	22073	581	874
scaffold_10	22074	582	875
scaffold_10	22075	580	876
scaffold_10	22076	578	877
scaffold_10	22077	576	878
scaffold_10	22078	579	879
scaffold_10	22079	580	880
scaffold_10	22080	595	881
scaffold_10	22081	601	882
scaffold_10	22082	558	883
scaffold_10	22083	563	884
scaffold_10	22084	547	885
scaffold_10	22085	548	886
scaffold_10	22086	557	887
scaffold_10	22087	545	888
scaffold_10	22088	535	889
scaffold_10	22089	537	890
scaffold_10	22090	537	891
scaffold_10	22091	532	892
scaffold_10	22092	530	893
scaffold_10	22093	531	894
scaffold_10	22094	530	895
scaffold_10	22095	532	896
scaffold_10	22096	525	897
scaffold_10	22097	543	898
scaffold_10	22098	547	899
scaffold_10	22099	518	900
scaffold_10	22100	523	901
scaffold_10	22101	515	902
scaffold_10	22102	520	903
scaffold_10	22103	514	904
scaffold_10	22104	524	905
scaffold_10	22105	531	906
scaffold_10	22106	528	907
scaffold_10	22107	529	908
scaffold_10	22108	522	909
scaffold_10	22109	525	910
scaffold_10	22110	527	911
scaffold_10	22111	516	912
scaffold_10	22112	490	913
scaffold_10	22113	510	914
scaffold_10	22114	508	915
scaffold_10	22115	496	916
scaffold_10	22116	500	917
scaffold_10	22117	503	918
scaffold_10	22118	497	919
scaffold_10	22119	506	920
scaffold_10	22120	499	921
scaffold_10	22121	479	922
scaffold_10	22122	480	923
scaffold_10	22123	464	924
scaffold_10	22124	462	925
scaffold_10	22125	464	926
scaffold_10	22126	463	927
scaffold_10	22127	465	928
scaffold_10	22128	459	929
scaffold_10	22129	467	930
scaffold_10	22130	462	931
scaffold_10	22131	467	932
scaffold_10	22132	473	933
scaffold_10	22133	473	934
scaffold_10	22134	458	935
scaffold_10	22135	446	936
scaffold_10	22136	477	937
scaffold_10	22137	479	938
scaffold_10	22138	482	939
scaffold_10	22139	476	940
scaffold_10	22140	479	941
scaffold_10	22141	474	942
scaffold_10	22142	474	943
scaffold_10	22143	484	944
scaffold_10	22144	480	945
scaffold_10	22145	481	946
scaffold_10	22146	479	947
scaffold_10	22147	468	948
scaffold_10	22148	475	949
scaffold_10	22149	475	950
scaffold_10	22150	472	951
scaffold_10	22151	472	952
scaffold_10	22152	472	953
scaffold_10	22153	467	954
scaffold_10	22154	469	955
scaffold_10	22155	435	956
scaffold_10	22156	432	957
scaffold_10	22157	438	958
scaffold_10	22158	441	959
scaffold_10	22159	442	960
scaffold_10	22160	436	961
scaffold_10	22161	443	962
scaffold_10	22162	439	963
scaffold_10	22163	447	964
scaffold_10	22164	456	965
scaffold_10	22165	468	966
scaffold_10	22166	469	967
scaffold_10	22167	473	968
scaffold_10	22168	456	969
scaffold_10	22169	454	970
scaffold_10	22170	469	971
scaffold_10	22171	463	972
scaffold_10	22172	470	973
scaffold_10	22173	470	974
scaffold_10	22174	471	975
scaffold_10	22175	452	976
scaffold_10	22176	464	977
scaffold_10	22177	464	978
scaffold_10	22178	461	979
scaffold_10	22179	463	980
scaffold_10	22180	455	981
scaffold_10	22181	453	982
scaffold_10	22182	446	983
scaffold_10	22183	447	984
scaffold_10	22184	449	985
scaffold_10	22185	449	986
scaffold_10	22186	444	987
scaffold_10	22187	437	988
scaffold_10	22188	447	989
scaffold_10	22189	452	990
scaffold_10	22190	457	991
scaffold_10	22191	458	992
scaffold_10	22192	452	993
scaffold_10	22193	446	994
scaffold_10	22194	447	995
scaffold_10	22195	449	996
scaffold_10	22196	460	997
scaffold_10	22197	461	998
scaffold_10	22198	459	999
scaffold_10	22199	464	1000
scaffold_10	22200	462	1001
scaffold_10	22201	461	1002
scaffold_10	22202	461	1003
scaffold_10	22203	462	1004
scaffold_10	22204	464	1005
scaffold_10	22205	463	1006
scaffold_10	22206	461	1007
scaffold_10	22207	461	1008
scaffold_10	22208	460	1009
scaffold_10	22209	473	1010
scaffold_10	22210	467	1011
scaffold_10	22211	468	1012
scaffold_10	22212	456	1013
scaffold_10	22213	458	1014
scaffold_10	22214	462	1015
scaffold_10	22215	441	1016
scaffold_10	22216	439	1017
scaffold_10	22217	441	1018
scaffold_10	22218	442	1019
scaffold_10	22219	435	1020
scaffold_10	22220	454	1021
scaffold_10	22221	459	1022
scaffold_10	22222	468	1023
scaffold_10	22223	464	1024
scaffold_10	22224	470	1025
scaffold_10	22225	464	1026
scaffold_10	22226	469	1027
scaffold_10	22227	476	1028
scaffold_10	22228	479	1029
scaffold_10	22229	484	1030
scaffold_10	22230	480	1031
scaffold_10	22231	480	1032
scaffold_10	22232	476	1033
scaffold_10	22233	476	1034
scaffold_10	22234	480	1035
scaffold_10	22235	495	1036
scaffold_10	22236	491	1037
scaffold_10	22237	486	1038
scaffold_10	22238	489	1039
scaffold_10	22239	488	1040
scaffold_10	22240	494	1041
scaffold_10	22241	497	1042
scaffold_10	22242	497	1043
scaffold_10	22243	494	1044
scaffold_10	22244	493	1045
scaffold_10	22245	497	1046
scaffold_10	22246	496	1047
scaffold_10	22247	496	1048
scaffold_10	22248	496	1049
scaffold_10	22249	504	1050
scaffold_10	22250	497	1051
scaffold_10	22251	508	1052
scaffold_10	22252	511	1053
scaffold_10	22253	509	1054
scaffold_10	22254	508	1055
scaffold_10	22255	520	1056
scaffold_10	22256	524	1057
scaffold_10	22257	522	1058
scaffold_10	22258	519	1059
scaffold_10	22259	530	1060
scaffold_10	22260	526	1061
scaffold_10	22261	537	1062
scaffold_10	22262	538	1063
scaffold_10	22263	528	1064
scaffold_10	22264	536	1065
scaffold_10	22265	539	1066
scaffold_10	22266	545	1067
scaffold_10	22267	575	1068
scaffold_10	22268	568	1069
scaffold_10	22269	569	1070
scaffold_10	22270	576	1071
scaffold_10	22271	578	1072
scaffold_10	22272	575	1073
scaffold_10	22273	576	1074
scaffold_10	22274	580	1075
scaffold_10	22275	585	1076
scaffold_10	22276	586	1077
scaffold_10	22277	586	1078
scaffold_10	22278	583	1079
scaffold_10	22279	583	1080
scaffold_10	22280	583	1081
scaffold_10	22281	579	1082
scaffold_10	22282	581	1083
scaffold_10	22283	584	1084
scaffold_10	22284	584	1085
scaffold_10	22285	581	1086
scaffold_10	22286	574	1087
scaffold_10	22287	562	1088
scaffold_10	22288	557	1089
scaffold_10	22289	553	1090
scaffold_10	22290	555	1091
scaffold_10	22291	557	1092
scaffold_10	22292	553	1093
scaffold_10	22293	554	1094
scaffold_10	22294	559	1095
scaffold_10	22295	555	1096
scaffold_10	22296	558	1097
scaffold_10	22297	558	1098
scaffold_10	22298	561	1099
scaffold_10	22299	556	1100
scaffold_10	22300	557	1101
scaffold_10	22301	559	1102
scaffold_10	22302	566	1103
scaffold_10	22303	565	1104
scaffold_10	22304	561	1105
scaffold_10	22305	560	1106
scaffold_10	22306	559	1107
scaffold_10	22307	556	1108
scaffold_10	22308	564	1109
scaffold_10	22309	559	1110
scaffold_10	22310	564	1111
scaffold_10	22311	551	1112
scaffold_10	22312	542	1113
scaffold_10	22313	536	1114
scaffold_10	22314	512	1115
scaffold_10	22315	480	1116
scaffold_10	22316	463	1117
scaffold_10	22317	469	1118
scaffold_10	22318	476	1119
scaffold_10	22319	481	1120
scaffold_10	22320	473	1121
scaffold_10	22321	471	1122
scaffold_10	22322	473	1123
scaffold_10	22323	466	1124
scaffold_10	22324	475	1125
scaffold_10	22325	473	1126
scaffold_10	22326	468	1127
scaffold_10	22327	472	1128
scaffold_10	22328	472	1129
scaffold_10	22329	475	1130
scaffold_10	22330	475	1131
scaffold_10	22331	473	1132
scaffold_10	22332	471	1133
scaffold_10	22333	471	1134
scaffold_10	22334	475	1135
scaffold_10	22335	478	1136
scaffold_10	22336	478	1137
scaffold_10	22337	477	1138
scaffold_10	22338	476	1139
scaffold_10	22339	472	1140
scaffold_10	22340	472	1141
scaffold_10	22341	475	1142
scaffold_10	22342	478	1143
scaffold_10	22343	479	1144
scaffold_10	22344	480	1145
scaffold_10	22345	472	1146
scaffold_10	22346	447	1147
scaffold_10	22347	449	1148
scaffold_10	22348	444	1149
scaffold_10	22349	438	1150
scaffold_10	22350	444	1151
scaffold_10	22351	437	1152
scaffold_10	22352	452	1153
scaffold_10	22353	456	1154
scaffold_10	22354	450	1155
scaffold_10	22355	457	1156
scaffold_10	22356	456	1157
scaffold_10	22357	443	1158
scaffold_10	22358	435	1159
scaffold_10	22359	437	1160
scaffold_10	22360	440	1161
scaffold_10	22361	430	1162
scaffold_10	22362	439	1163
scaffold_10	22363	437	1164
scaffold_10	22364	433	1165
scaffold_10	22365	433	1166
scaffold_10	22366	431	1167
scaffold_10	22367	428	1168
scaffold_10	22368	419	1169
scaffold_10	22369	430	1170
scaffold_10	22370	433	1171
scaffold_10	22371	436	1172
scaffold_10	22372	427	1173
scaffold_10	22373	431	1174
scaffold_10	22374	425	1175
scaffold_10	22375	429	1176
scaffold_10	22376	424	1177
scaffold_10	22377	420	1178
scaffold_10	22378	422	1179
scaffold_10	22379	430	1180
scaffold_10	22380	429	1181
scaffold_10	22381	433	1182
scaffold_10	22382	428	1183
scaffold_10	22383	452	1184
scaffold_10	22384	451	1185
scaffold_10	22385	440	1186
scaffold_10	22386	449	1187
scaffold_10	22387	452	1188
scaffold_10	22388	449	1189
scaffold_10	22389	452	1190
scaffold_10	22390	436	1191
scaffold_10	22391	434	1192
scaffold_10	22392	435	1193
scaffold_10	22393	434	1194
scaffold_10	22394	431	1195
scaffold_10	22395	426	1196
scaffold_10	22396	427	1197
scaffold_10	22397	425	1198
scaffold_10	22398	425	1199
scaffold_10	22399	432	1200
scaffold_10	22400	428	1201
scaffold_10	22401	418	1202
scaffold_10	22402	421	1203
scaffold_10	22403	420	1204
scaffold_10	22404	415	1205
scaffold_10	22405	412	1206
scaffold_10	22406	408	1207
scaffold_10	22407	405	1208
scaffold_10	22408	404	1209
scaffold_10	22409	404	1210
scaffold_10	22410	407	1211
scaffold_10	22411	400	1212
scaffold_10	22412	398	1213
scaffold_10	22413	400	1214
scaffold_10	22414	401	1215
scaffold_10	22415	399	1216
scaffold_10	22416	403	1217
scaffold_10	22417	392	1218
scaffold_10	22418	396	1219
scaffold_10	22419	397	1220
scaffold_10	22420	397	1221
scaffold_10	22421	407	1222
scaffold_10	22422	398	1223
scaffold_10	22423	402	1224
scaffold_10	22424	399	1225
scaffold_10	22425	400	1226
scaffold_10	22426	400	1227
scaffold_10	22427	405	1228
scaffold_10	22428	403	1229
scaffold_10	22429	407	1230
scaffold_10	22430	402	1231
scaffold_10	22431	409	1232
scaffold_10	22432	407	1233
scaffold_10	22433	412	1234
scaffold_10	22434	434	1235
scaffold_10	22435	435	1236
scaffold_10	22436	432	1237
scaffold_10	22437	447	1238
scaffold_10	22438	444	1239
scaffold_10	22439	451	1240
scaffold_10	22440	454	1241
scaffold_10	22441	452	1242
scaffold_10	22442	456	1243
scaffold_10	22443	455	1244
scaffold_10	22444	457	1245
scaffold_10	22445	447	1246
scaffold_10	22446	454	1247
scaffold_10	22447	450	1248
scaffold_10	22448	453	1249
scaffold_10	22449	451	1250
scaffold_10	22450	458	1251
scaffold_10	22451	449	1252
scaffold_10	22452	458	1253
scaffold_10	22453	460	1254
scaffold_10	22454	449	1255
scaffold_10	22455	458	1256
scaffold_10	22456	457	1257
scaffold_10	22457	452	1258
scaffold_10	22458	450	1259
scaffold_10	22459	439	1260
scaffold_10	22460	456	1261
scaffold_10	22461	454	1262
scaffold_10	22462	454	1263
scaffold_10	22463	451	1264
scaffold_10	22464	452	1265
scaffold_10	22465	442	1266
scaffold_10	22466	441	1267
scaffold_10	22467	440	1268
scaffold_10	22468	434	1269
scaffold_10	22469	441	1270
scaffold_10	22470	426	1271
scaffold_10	22471	424	1272
scaffold_10	22472	424	1273
scaffold_10	22473	424	1274
scaffold_10	22474	428	1275
scaffold_10	22475	418	1276
scaffold_10	22476	421	1277
scaffold_10	22477	432	1278
scaffold_10	22478	430	1279
scaffold_10	22479	432	1280
scaffold_10	22480	425	1281
scaffold_10	22481	425	1282
scaffold_10	22482	431	1283
scaffold_10	22483	429	1284
scaffold_10	22484	427	1285
scaffold_10	22485	428	1286
scaffold_10	22486	427	1287
scaffold_10	22487	427	1288
scaffold_10	22488	418	1289
scaffold_10	22489	424	1290
scaffold_10	22490	426	1291
scaffold_10	22491	417	1292
scaffold_10	22492	402	1293
scaffold_10	22493	401	1294
scaffold_10	22494	402	1295
scaffold_10	22495	395	1296
scaffold_10	22496	397	1297
scaffold_10	22497	395	1298
scaffold_10	22498	397	1299
scaffold_10	22499	393	1300
scaffold_10	22500	391	1301
scaffold_10	22501	393	1302
scaffold_10	22502	384	1303
scaffold_10	22503	390	1304
scaffold_10	22504	391	1305
scaffold_10	22505	388	1306
scaffold_10	22506	385	1307
scaffold_10	22507	388	1308
scaffold_10	22508	381	1309
scaffold_10	22509	381	1310
scaffold_10	22510	373	1311
scaffold_10	22511	369	1312
scaffold_10	22512	381	1313
