seq_id	start	end	strand	Organism
CLFT071	256896	258512	+	CLFT071
CLFT071	258809	260301	+	CLFT071
CLFT071	262272	262619	+	CLFT071
CLFT071	265399	266154	+	CLFT071
CLFT071	267079	267684	-	CLFT071
CLFT071	274206	275944	+	CLFT071
CLFT071	277287	278360	-	CLFT071
CLFT071	278299	280348	+	CLFT071
CLFT071	281034	282878	+	CLFT071
CLFT071	282972	284883	+	CLFT071
CLFT071	284886	287730	-	CLFT071
CLFT071	287811	289403	-	CLFT071
CLFT071	289702	292358	-	CLFT071
CLFT071	293158	294957	-	CLFT071
CLFT071	296402	298381	-	CLFT071
CLFT071	298551	299438	+	CLFT071
CLFT071	300297	302309	+	CLFT071
CLFT071	302049	302929	-	CLFT071
CLFT071	303416	304120	-	CLFT071
CLFT071	304121	306718	+	CLFT071
CLFT071	306982	309764	+	CLFT071
CLFT071	310077	311937	-	CLFT071
CLFT071	312214	312564	-	CLFT071
CLFT071	312977	316128	+	CLFT071
CLFT071	316427	320807	+	CLFT071
CLFT071	320859	322775	-	CLFT071
CLFT071	323854	326799	+	CLFT071
CLFT071	327395	330412	+	CLFT071
CLFT071	330871	334779	+	CLFT071
CLFT071	335131	337620	-	CLFT071
CLFT071	337792	338428	-	CLFT071
CLFT071	338720	339577	-	CLFT071
CLFT071	340207	342401	+	CLFT071
CLFT071	342571	344106	-	CLFT071
CLFT071	342589	346851	+	CLFT071
CLFT071	347001	351360	+	CLFT071
CLFT071	351505	352099	-	CLFT071
CLFT071	352286	354438	+	CLFT071
CLFT071	354625	356003	+	CLFT071
CLFT071	356723	358456	-	CLFT071
CLFT071	359758	361370	+	CLFT071
CLFT071	359758	364088	-	CLFT071
CLFT071	364422	365967	-	CLFT071
CLFT071	367876	371823	+	CLFT071
CLFT071	371942	373731	-	CLFT071
CLFT071	373905	376028	+	CLFT071
CLFT071	376169	376853	-	CLFT071
CLFT071	376860	378925	+	CLFT071
CLFT071	379631	380680	+	CLFT071
CLFT071	380682	386871	-	CLFT071
CLFT071	387020	387884	+	CLFT071
CLFT071	387843	390210	-	CLFT071
CLFT071	390323	393323	-	CLFT071
CLFT071	393308	395326	+	CLFT071
CLFT071	395327	398872	-	CLFT071
CLFT071	399369	403867	+	CLFT071
CLFT071	403950	406295	+	CLFT071
CLFT071	406331	408599	-	CLFT071
CLFT071	408975	412286	+	CLFT071
CLFT071	412366	412439	-	CLFT071
CLFT071	412816	414888	+	CLFT071
CLFT071	415282	419227	+	CLFT071
CLFT071	419570	420467	+	CLFT071
CLFT071	420445	423222	-	CLFT071
CLFT071	423457	425384	-	CLFT071
CLFT071	425385	426579	-	CLFT071
CLFT071	426985	427302	-	CLFT071
CLFT071	427614	428816	-	CLFT071
CLFT071	430890	433097	+	CLFT071
CLFT071	433980	434723	-	CLFT071
CLFT071	436812	440106	-	CLFT071
CLFT071	441333	442411	+	CLFT071
CLFT071	444062	446021	+	CLFT071
CLFT071	446869	447744	-	CLFT071
CLFT071	450145	451661	-	CLFT071
CLFT071	451801	452566	+	CLFT071
CLFT071	452698	454374	+	CLFT071
CLFT071	456835	458188	-	CLFT071
CLFT071	459792	462445	-	CLFT071
CLFT071	461931	463280	-	CLFT071
CLFT071	464252	465280	+	CLFT071
CLFT071	466363	469312	+	CLFT071
CLFT071	469365	472337	-	CLFT071
CLFT071	472466	474352	+	CLFT071
CLFT071	474468	475848	+	CLFT071
CLFT071	475902	476939	-	CLFT071
CLFT071	477045	477864	+	CLFT071
CLFT071	477980	478855	-	CLFT071
CLFT071	479750	484091	-	CLFT071
CLFT071	484201	486618	+	CLFT071
CLFT071	486869	487944	-	CLFT071
CLFT071	488105	489735	+	CLFT071
CLFT071	493292	494677	-	CLFT071
CLFT071	495689	497708	-	CLFT071
CLFT071	497797	499086	+	CLFT071
CLFT071	499018	500332	-	CLFT071
CLFT071	500425	503193	-	CLFT071
CLFT071	503413	506280	-	CLFT071
CLFT071	506500	507799	+	CLFT071
CLFT071	507923	509776	+	CLFT071
CLFT071	509954	510450	+	CLFT071
CLFT071	510549	511169	-	CLFT071
CLFT071	511748	513745	+	CLFT071
CLFT071	513746	514968	+	CLFT071
CLFT071	515038	516344	-	CLFT071
CLFT071	516714	517866	-	CLFT071
CLFT071	518408	520125	+	CLFT071
CLFT071	520223	521692	+	CLFT071
CLFT071	521693	524334	-	CLFT071
CLFT071	524381	525267	+	CLFT071
CLFT071	525531	530552	+	CLFT071
CLFT071	531820	531892	+	CLFT071
CLFT071	531947	533446	-	CLFT071
CLFT071	533623	534084	-	CLFT071
CLFT071	534171	534614	+	CLFT071
CLFT071	534960	538583	-	CLFT071
CLFT071	539480	539552	-	CLFT071
CLFT071	539648	541130	+	CLFT071
CLFT071	541301	542566	-	CLFT071
CLFT071	542717	544107	+	CLFT071
CLFT071	544731	546074	+	CLFT071
CLFT071	546248	547162	-	CLFT071
CLFT071	547591	550056	-	CLFT071
CLFT071	550416	552152	-	CLFT071
CLFT071	552291	554480	-	CLFT071
CLFT071	554770	557012	+	CLFT071
CLFT071	557367	559356	+	CLFT071
CLFT071	559603	561567	+	CLFT071
CLFT071	562221	564760	-	CLFT071
CLFT071	566139	566210	+	CLFT071
CLFT071	566634	568352	-	CLFT071
CLFT071	568571	570219	-	CLFT071
CLFT071	570613	577901	+	CLFT071
CLFT071	579380	581317	-	CLFT071
CLFT071	583258	583716	-	CLFT071
CLFT071	584275	586275	+	CLFT071
CLFT071	584363	589015	-	CLFT071
CLFT071	589587	592456	+	CLFT071
CLFT071	592684	593052	+	CLFT071
CLFT071	593318	594873	+	CLFT071
CLFT071	594850	596738	+	CLFT071
CLFT071	596826	598508	+	CLFT071
CLFT071	598770	600290	+	CLFT071
CLFT071	600378	602180	+	CLFT071
CLFT071	602561	604370	+	CLFT071
CLFT071	604555	605655	+	CLFT071
CLFT071	605727	608330	-	CLFT071
CLFT071	608340	609334	+	CLFT071
CLFT071	609584	611140	-	CLFT071
CLFT071	611308	611937	+	CLFT071
CLFT071	612191	613512	-	CLFT071
CLFT071	614380	617276	-	CLFT071
CLFT071	617541	619704	-	CLFT071
CLFT071	620151	621851	-	CLFT071
CLFT071	622214	624850	-	CLFT071
CLFT071	624920	625756	-	CLFT071
CLFT071	625897	629717	+	CLFT071
CLFT071	630067	632329	+	CLFT071
CLFT071	632330	634168	-	CLFT071
CLFT071	634273	637959	-	CLFT071
CLFT071	638195	638744	-	CLFT071
CLFT071	639505	641011	+	CLFT071
CLFT071	641078	642960	+	CLFT071
CLFT071	643530	645252	+	CLFT071
CLFT071	646539	650106	+	CLFT071
CLFT071	650107	652646	+	CLFT071
CLFT071	652851	653849	-	CLFT071
CLFT071	653961	654619	-	CLFT071
CLFT071	654981	655628	+	CLFT071
CLFT071	655895	656611	+	CLFT071
CLFT071	656823	659362	-	CLFT071
CLFT071	659822	660847	+	CLFT071
CLFT071	661468	662075	-	CLFT071
CLFT071	662770	663556	-	CLFT071
CLFT071	663657	666565	+	CLFT071
CLFT071	666903	669467	+	CLFT071
CLFT071	669620	670459	-	CLFT071
CLFT071	670621	672074	-	CLFT071
CLFT071	672075	675549	-	CLFT071
CLFT071	675774	676164	+	CLFT071
CLFT071	676302	677103	+	CLFT071
CLFT071	677481	678394	-	CLFT071
CLFT071	678782	680845	-	CLFT071
CLFT071	681090	682556	-	CLFT071
CLFT071	683733	685181	-	CLFT071
CLFT071	687341	688021	-	CLFT071
CLFT071	689117	690574	-	CLFT071
CLFT071	691518	694531	-	CLFT071
CLFT071	694591	697030	+	CLFT071
CLFT071	696436	697021	-	CLFT071
CLFT071	697745	701603	+	CLFT071
CLFT071	701604	702853	-	CLFT071
CLFT071	703195	705426	+	CLFT071
CLFT071	705546	708904	+	CLFT071
CLFT071	709110	711008	-	CLFT071
CLFT071	712280	715843	+	CLFT071
CLFT071	715944	717370	-	CLFT071
CLFT071	717449	718562	-	CLFT071
CLFT071	719128	720000	-	CLFT071
CLFT071	721921	723286	+	CLFT071
CLFT071	723726	725309	+	CLFT071
CLFT071	725244	727847	-	CLFT071
CLFT071	727865	730450	+	CLFT071
CLFT071	730791	733336	+	CLFT071
CLFT071	733636	734609	+	CLFT071
CLFT071	734664	736516	+	CLFT071
CLFT071	736661	737796	+	CLFT071
CLFT071	737946	738859	+	CLFT071
CLFT071	739002	739805	-	CLFT071
CLFT071	740393	742147	+	CLFT071
CLFT071	742282	748056	-	CLFT071
CLFT071	748103	749485	+	CLFT071
CLFT071	749517	750481	-	CLFT071
CLFT071	750799	753177	-	CLFT071
CLFT071	753956	756667	+	CLFT071
CLFT071	757261	761647	+	CLFT071
CLFT071	761813	763144	-	CLFT071
CLFT071	763712	764899	+	CLFT071
CLFT071	765244	766211	-	CLFT071
CLFT071	766666	767766	-	CLFT071
CLFT071	768649	774963	+	CLFT071
CLFT071	774984	779485	+	CLFT071
CLFT071	779544	782440	+	CLFT071
CLFT071	781492	782391	-	CLFT071
CLFT071	782921	784522	-	CLFT071
CLFT071	784950	786085	-	CLFT071
CLFT071	787070	788794	-	CLFT071
CLFT071	789905	790942	-	CLFT071
CLFT071	793128	795431	+	CLFT071
CLFT071	797453	798094	+	CLFT071
CLFT071	799213	800043	-	CLFT071
CLFT071	800475	800774	+	CLFT071
CLFT071	801772	803915	+	CLFT071
CLFT071	805346	806149	+	CLFT071
CLFT071	809686	812348	-	CLFT071
CLFT071	812743	813762	+	CLFT071
CLFT071	814406	815913	+	CLFT071
CLFT071	816333	817477	-	CLFT071
CLFT071	818755	819259	-	CLFT071
CLFT071	819282	819572	-	CLFT071
CLFT071	822255	826191	-	CLFT071
CLFT071	824974	825264	+	CLFT071
CLFT071	826175	826900	-	CLFT071
CLFT071	828499	830312	-	CLFT071
CLFT071	830663	835856	+	CLFT071
CLFT071	837835	841856	-	CLFT071
CLFT071	849369	850049	-	CLFT071
CLFT071	851484	852299	-	CLFT071
CLFT071	854801	856114	+	CLFT071
CLFT071	856114	856668	+	CLFT071
CLFT071	859533	860600	-	CLFT071
CLFT071	860630	861052	-	CLFT071
CLFT071	862283	862799	+	CLFT071
CLFT071	862923	863958	+	CLFT071
CLFT071	864752	865744	-	CLFT071
CLFT071	867959	869535	+	CLFT071
CLFT071	871874	874126	-	CLFT071
CLFT071	875996	877070	+	CLFT071
CLFT071	878819	879676	+	CLFT071
CLFT071	880816	881712	-	CLFT071
CLFT071	883508	884395	-	CLFT071
CLFT071	886685	887593	+	CLFT071
CLFT071	887985	889405	-	CLFT071
CLFT071	889758	891993	+	CLFT071
CLFT071	892075	893940	-	CLFT071
CLFT071	894552	895597	-	CLFT071
CLFT071	895814	896358	+	CLFT071
CLFT071	896565	898034	+	CLFT071
CLFT071	898236	900433	+	CLFT071
CLFT071	900658	902182	+	CLFT071
CLFT071	902382	908640	+	CLFT071
CLFT071	908993	914692	-	CLFT071
CLFT071	915514	916674	-	CLFT071
CLFT071	917189	918077	-	CLFT071
CLFT071	918212	919067	-	CLFT071
CLFT071	919257	921746	-	CLFT071
CLFT071	922003	924306	-	CLFT071
CLFT071	924524	925699	-	CLFT071
CLFT071	925692	927468	-	CLFT071
CLFT071	928135	930951	+	CLFT071
CLFT071	931167	932853	+	CLFT071
CLFT071	932851	933947	-	CLFT071
CLFT071	933988	935779	-	CLFT071
CLFT071	935896	939929	-	CLFT071
CLFT071	940044	940382	+	CLFT071
CLFT071	940329	941521	-	CLFT071
CLFT071	942552	944778	+	CLFT071
CLFT071	945904	947925	-	CLFT071
CLFT071	948040	949827	+	CLFT071
CLFT071	949938	952922	-	CLFT071
CLFT071	949961	950623	+	CLFT071
CLFT071	953413	955981	+	CLFT071
CLFT044	21689	22605	+	CLFT044
CLFT044	22642	23510	-	CLFT044
CLFT044	23863	24569	+	CLFT044
CLFT044	24849	25472	+ 	CLFT044
CLFT044	27314	28583	-	CLFT044
CLFT044	29396	33369	+	CLFT044
CLFT044	36073	36396	-	CLFT044
CLFT044	36545	37822	-	CLFT044
CLFT044	37840	39024	-	CLFT044
CLFT044	39077	39496	+	CLFT044
CLFT044	40175	41377	-	CLFT044
CLFT044	45649	46491	+	CLFT044
CLFT044	52409	53550	+	CLFT044
CLFT044	54425	54946	-	CLFT044
CLFT044	58039	58978	-	CLFT044
CLFT044	59383	59670	+	CLFT044
CLFT044	60489	61576	+	CLFT044
CLFT044	61999	63770	-	CLFT044
CLFT044	63800	65785	+	CLFT044
CLFT044	69437	71094	+	CLFT044
CLFT044	73625	74734	+	CLFT044
CLFT044	78251	79057	-	CLFT044
CLFT044	80494	82146	-	CLFT044
CLFT044	82948	84599	+	CLFT044
CLFT044	86071	86906	+	CLFT044
CLFT044	88011	88652	-	CLFT044
CLFT044	90768	93421	-	CLFT044
CLFT044	95168	96205	+	CLFT044
CLFT044	97751	99301	+	CLFT044
CLFT044	100046	101189	+	CLFT044
CLFT044	101671	103132	+	CLFT044
CLFT044	103677	104803	+	CLFT044
CLFT044	104804	106741	-	CLFT044
CLFT044	106762	110043	-	CLFT044
CLFT044	110358	114382	-	CLFT044
CLFT044	114375	116507	-	CLFT044
CLFT044	117513	118787	+	CLFT044
CLFT044	119181	120067	+	CLFT044
CLFT044	120474	121661	-	CLFT044
CLFT044	122229	123377	+	CLFT044
CLFT044	123726	128112	-	CLFT044
CLFT044	128707	131418	-	CLFT044
CLFT044	132151	134851	+	CLFT044
CLFT044	134919	135721	+	CLFT044
CLFT044	135857	137363	-	CLFT044
CLFT044	137475	143262	+	CLFT044
CLFT044	143370	144932	-	CLFT044
CLFT044	145100	146503	+	CLFT044
CLFT044	146596	147405	-	CLFT044
CLFT044	147721	148722	-	CLFT044
CLFT044	149026	150726	-	CLFT044
CLFT044	150799	151771	-	CLFT044
CLFT044	152075	154621	-	CLFT044
CLFT044	154923	157563	-	CLFT044
CLFT044	157770	160100	+	CLFT044
CLFT044	160041	161629	-	CLFT044
CLFT044	162043	163624	-	CLFT044
CLFT044	165344	166216	+	CLFT044
CLFT044	166683	167895	+	CLFT044
CLFT044	167974	169400	+	CLFT044
CLFT044	169501	173435	-	CLFT044
CLFT044	174294	176234	+	CLFT044
CLFT044	176440	179540	-	CLFT044
CLFT044	179576	179935	-	CLFT044
CLFT044	180083	182285	-	CLFT044
CLFT044	182650	184268	+	CLFT044
CLFT044	184269	187934	-	CLFT044
CLFT044	188684	190922	-	CLFT044
CLFT044	190974	193928	+	CLFT044
CLFT044	194751	196399	+	CLFT044
CLFT044	197418	198340	+	CLFT044
CLFT044	200258	201807	+	CLFT044
CLFT044	202765	204864	+	CLFT044
CLFT044	205130	206841	+	CLFT044
CLFT044	207138	208062	+	CLFT044
CLFT044	208790	209238	-	CLFT044
CLFT044	209376	209766	-	CLFT044
CLFT044	210104	213435	+	CLFT044
CLFT044	213537	214816	+	CLFT044
CLFT044	215081	215920	+	CLFT044
CLFT044	216064	219059	-	CLFT044
CLFT044	219540	222251	-	CLFT044
CLFT044	222421	223182	+	CLFT044
CLFT044	223816	224586	+	CLFT044
CLFT044	225130	226155	-	CLFT044
CLFT044	226619	229157	+	CLFT044
CLFT044	229366	230312	-	CLFT044
CLFT044	230512	231846	-	CLFT044
CLFT044	231888	232542	+	CLFT044
CLFT044	232655	234165	+	CLFT044
CLFT044	234416	236890	-	CLFT044
CLFT044	237128	240500	-	CLFT044
CLFT044	241860	243059	-	CLFT044
CLFT044	243705	245742	-	CLFT044
CLFT044	246387	247376	-	CLFT044
CLFT044	248271	248820	+	CLFT044
CLFT044	248987	252844	+	CLFT044
CLFT044	253285	254392	+	CLFT044
CLFT044	254393	256683	-	CLFT044
CLFT044	256953	260775	-	CLFT044
CLFT044	260915	261751	+	CLFT044
CLFT044	261821	264457	+	CLFT044
CLFT044	264808	266504	+	CLFT044
CLFT044	267116	268839	+	CLFT044
CLFT044	269825	272109	+	CLFT044
CLFT044	272935	274941	+	CLFT044
CLFT044	274977	275326	+	CLFT044
CLFT044	275580	276209	-	CLFT044
CLFT044	276377	277933	+	CLFT044
CLFT044	278298	278942	-	CLFT044
CLFT044	279066	281597	+	CLFT044
CLFT044	281692	282870	-	CLFT044
CLFT044	282882	284672	-	CLFT044
CLFT044	285064	286862	-	CLFT044
CLFT044	286949	288469	-	CLFT044
CLFT044	288740	290422	-	CLFT044
CLFT044	290546	292273	-	CLFT044
CLFT044	292375	294499	-	CLFT044
CLFT044	294869	296476	-	CLFT044
CLFT044	298160	302761	+	CLFT044
CLFT044	300999	302510	-	CLFT044
CLFT044	303084	303932	+	CLFT044
CLFT044	305669	307673	+	CLFT044
CLFT044	309111	316399	-	CLFT044
CLFT044	316797	318258	+	CLFT044
CLFT044	318476	320474	+	CLFT044
CLFT044	320635	320706	-	CLFT044
CLFT044	322807	324767	+	CLFT044
CLFT044	325333	327021	-	CLFT044
CLFT044	327496	329516	-	CLFT044
CLFT044	329874	334679	-	CLFT044
CLFT044	332408	334597	+	CLFT044
CLFT044	334710	336526	+	CLFT044
CLFT044	336713	339691	+	CLFT044
CLFT044	339693	340834	+	CLFT044
CLFT044	340892	342235	-	CLFT044
CLFT044	342275	342607	+	CLFT044
CLFT044	342984	344201	-	CLFT044
CLFT044	344397	345662	+	CLFT044
CLFT044	346043	346843	-	CLFT044
CLFT044	347408	347480	+	CLFT044
CLFT044	348171	352356	+	CLFT044
CLFT044	352432	352758	-	CLFT044
CLFT044	352827	353381	+	CLFT044
CLFT044	353471	355011	+	CLFT044
CLFT044	355081	355153	-	CLFT044
CLFT044	356419	361440	-	CLFT044
CLFT044	361630	362549	-	CLFT044
CLFT044	362563	365199	+	CLFT044
CLFT044	365238	366362	-	CLFT044
CLFT044	366588	367973	-	CLFT044
CLFT044	368853	369613	+	CLFT044
CLFT044	369650	371460	+	CLFT044
CLFT044	371461	373264	-	CLFT044
CLFT044	373265	375206	-	CLFT044
CLFT044	375782	379094	-	CLFT044
CLFT044	375782	376429	+	CLFT044
CLFT044	379238	380308	-	CLFT044
CLFT044	380496	383587	+	CLFT044
CLFT044	383702	386463	+	CLFT044
CLFT044	386566	387876	+	CLFT044
CLFT044	387904	389090	-	CLFT044
CLFT044	389193	391155	+	CLFT044
CLFT044	392224	393355	+	CLFT044
CLFT044	396860	398291	-	CLFT044
CLFT044	398988	399926	+	CLFT044
CLFT044	400212	402677	-	CLFT044
CLFT044	402968	406919	+	CLFT044
CLFT044	407905	409003	+	CLFT044
CLFT044	409022	409911	-	CLFT044
CLFT044	409713	411038	+	CLFT044
CLFT044	411102	412352	-	CLFT044
CLFT044	412534	414499	-	CLFT044
CLFT044	414617	417530	+	CLFT044
CLFT044	417841	419976	-	CLFT044
CLFT044	421559	422587	-	CLFT044
CLFT044	423821	427170	+	CLFT044
CLFT044	429068	430068	+	CLFT044
CLFT044	431285	432493	-	CLFT044
CLFT044	434391	435419	-	CLFT044
CLFT044	436640	437164	+	CLFT044
CLFT044	437216	438116	+	CLFT044
CLFT044	438187	439875	+	CLFT044
CLFT044	441532	442764	+	CLFT044
CLFT044	443324	445381	-	CLFT044
CLFT044	447837	449109	+	CLFT044
CLFT044	449287	449944	+	CLFT044
CLFT044	450318	451407	+	CLFT044
CLFT044	451575	453243	+	CLFT044
CLFT044	453597	456400	+	CLFT044
CLFT044	456398	457533	-	CLFT044
CLFT044	457616	461577	-	CLFT044
CLFT044	462009	463972	-	CLFT044
CLFT044	464339	464412	+	CLFT044
CLFT044	464494	467947	-	CLFT044
CLFT044	468236	470491	+	CLFT044
CLFT044	470492	472814	-	CLFT044
CLFT044	472960	477452	-	CLFT044
CLFT044	478010	481535	+	CLFT044
CLFT044	481536	483625	-	CLFT044
CLFT044	483651	486545	+	CLFT044
CLFT044	487951	488331	+	CLFT044
CLFT044	489042	489728	-	CLFT044
CLFT044	489999	496154	+	CLFT044
CLFT044	496177	497234	-	CLFT044
CLFT044	498148	499951	-	CLFT044
CLFT044	500008	500554	+	CLFT044
CLFT044	500687	501619	-	CLFT044
CLFT044	501652	503902	+	CLFT044
CLFT044	504021	507917	-	CLFT044
CLFT044	508252	511221	+	CLFT044
CLFT044	511844	514247	+	CLFT044
CLFT044	514670	516076	-	CLFT044
CLFT044	517346	519119	+	CLFT044
CLFT044	519839	521217	-	CLFT044
CLFT044	521404	523179	-	CLFT044
CLFT044	523826	524358	+	CLFT044
CLFT044	524555	528837	-	CLFT044
CLFT044	529031	531090	-	CLFT044
CLFT044	531728	533263	+	CLFT044
CLFT044	533252	536216	-	CLFT044
CLFT044	536217	537263	+	CLFT044
CLFT044	537548	538361	+	CLFT044
CLFT044	538538	541027	+	CLFT044
CLFT044	541379	545287	-	CLFT044
CLFT044	545745	548762	-	CLFT044
CLFT044	549540	552161	-	CLFT044
CLFT044	553234	555603	+	CLFT044
CLFT044	555599	560245	-	CLFT044
CLFT044	560529	563337	-	CLFT044
CLFT044	563643	564177	+	CLFT044
CLFT044	564346	566361	+	CLFT044
CLFT044	566729	569237	-	CLFT044
CLFT044	569589	572224	-	CLFT044
CLFT044	572225	572852	+	CLFT044
CLFT044	573306	574100	+	CLFT044
CLFT044	573999	575998	-	CLFT044
CLFT044	576866	577753	-	CLFT044
CLFT044	577923	579902	+	CLFT044
CLFT044	580397	583631	+	CLFT044
CLFT044	584385	587084	+	CLFT044
CLFT044	587132	589196	+	CLFT044
CLFT044	589197	591807	+	CLFT044
CLFT044	591512	593751	-	CLFT044
CLFT044	594112	595122	-	CLFT044
CLFT044	596439	598036	-	CLFT044
CLFT044	598427	599315	+	CLFT044
CLFT044	600831	602112	-	CLFT044
CLFT044	609076	609687	+	CLFT044
CLFT044	610615	611154	-	CLFT044
CLFT044	618254	619381	-	CLFT044
CLFT044	621264	621866	-	CLFT044
CLFT044	624197	627326	-	CLFT044
CLFT044	627577	631988	+	CLFT044
CLFT044	631982	632575	-	CLFT044
CLFT044	632858	633979	+	CLFT044
CLFT044	633958	635885	+	CLFT044
CLFT044	635948	637338	+	CLFT044
CLFT044	637620	639796	+	CLFT044
CLFT044	639964	641738	-	CLFT044
CLFT044	641847	643493	-	CLFT044
CLFT044	643498	648673	+	CLFT044
CLFT044	648876	651032	-	CLFT044
CLFT044	651223	656054	-	CLFT044
CLFT044	656171	657915	-	CLFT044
CLFT044	658562	660189	+	CLFT044
CLFT044	660239	661802	-	CLFT044
CLFT044	662019	662561	+	CLFT044
CLFT044	662631	665140	-	CLFT044
CLFT044	665586	668808	-	CLFT044
CLFT044	669124	671043	-	CLFT044
CLFT044	671250	673851	-	CLFT044
CLFT044	674467	675844	-	CLFT044
CLFT044	676258	677334	-	CLFT044
CLFT044	678028	679129	-	CLFT044
CLFT044	681294	683847	-	CLFT044
CLFT044	681465	682052	+	CLFT044
CLFT044	683852	685792	+	CLFT044
CLFT044	686235	690559	+	CLFT044
CLFT044	690708	691712	+	CLFT044
CLFT044	691704	692603	-	CLFT044
CLFT044	692739	694655	+	CLFT044
CLFT044	694787	696675	+	CLFT044
CLFT044	696183	698384	-	CLFT044
CLFT044	698731	699328	-	CLFT044
CLFT044	699457	700997	+	CLFT044
CLFT044	700216	700992	-	CLFT044
CLFT044	701177	703108	+	CLFT044
CLFT044	703236	717177	-	CLFT044
CLFT044	717897	718709	-	CLFT044
CLFT044	721201	722254	+	CLFT044
CLFT044	723474	724027	+	CLFT044
CLFT044	724631	725518	+	CLFT044
CLFT044	726944	728005	+	CLFT044
