Scaffold	Start	Coverage	Blanked	Score
scaffold_10	21426	5	227	2.51054501
scaffold_10	21427	5	228	2.515873844
scaffold_10	21428	5	229	2.525044807
scaffold_10	21429	5	230	2.532754379
scaffold_10	21430	5	231	2.534026106
scaffold_10	21431	5	232	2.536558443
scaffold_10	21432	5	233	2.549003262
scaffold_10	21433	5	234	2.551449998
scaffold_10	21434	5	235	2.553883027
scaffold_10	21435	5	236	2.551449998
scaffold_10	21436	5	237	2.540329475
scaffold_10	21437	5	238	2.559906625
scaffold_10	21438	5	239	2.561101384
scaffold_10	21439	5	240	2.557507202
scaffold_10	21440	5	241	2.561101384
scaffold_10	21441	5	242	2.562292864
scaffold_10	21442	5	243	2.564666064
scaffold_10	21443	5	244	2.564666064
scaffold_10	21444	5	245	2.57054294
scaffold_10	21445	5	246	2.572871602
scaffold_10	21446	5	247	2.572871602
scaffold_10	21447	5	248	2.57634135
scaffold_10	21448	5	249	2.57634135
scaffold_10	21449	5	250	2.574031268
scaffold_10	21450	5	251	2.575187845
scaffold_10	21451	5	252	2.5774918
scaffold_10	21452	5	253	2.580924976
scaffold_10	21453	5	254	2.583198774
scaffold_10	21454	5	255	2.580924976
scaffold_10	21455	5	256	2.583198774
scaffold_10	21456	5	257	2.583198774
scaffold_10	21457	5	258	2.58546073
scaffold_10	21458	5	259	2.591064607
scaffold_10	21459	5	260	2.588831726
scaffold_10	21460	5	261	2.589949601
scaffold_10	21461	5	262	2.592176757
scaffold_10	21462	5	263	2.599883072
scaffold_10	21463	5	264	2.600972896
scaffold_10	21464	5	265	2.602059991
scaffold_10	21465	5	266	2.602059991
scaffold_10	21466	5	267	2.605305046
scaffold_10	21467	5	268	2.606381365
scaffold_10	21468	5	269	2.607455023
scaffold_10	21469	5	270	2.600972896
scaffold_10	21470	5	271	2.607455023
scaffold_10	21471	5	272	2.603144373
scaffold_10	21472	5	273	2.609594409
scaffold_10	21473	5	274	2.607455023
scaffold_10	21474	5	275	2.596597096
scaffold_10	21475	5	276	2.607455023
scaffold_10	21476	5	277	2.626340367
scaffold_10	21477	5	278	2.62838893
scaffold_10	21478	5	279	2.627365857
scaffold_10	21479	5	280	2.629409599
scaffold_10	21480	5	281	2.625312451
scaffold_10	21481	5	282	2.630427875
scaffold_10	21482	5	283	2.62838893
scaffold_10	21483	5	284	2.62838893
scaffold_10	21484	5	285	2.635483747
scaffold_10	21485	5	286	2.63447727
scaffold_10	21486	5	287	2.63447727
scaffold_10	21487	5	288	2.635483747
scaffold_10	21488	5	289	2.638489257
scaffold_10	21489	5	290	2.643452676
scaffold_10	21490	5	291	2.644438589
scaffold_10	21491	5	292	2.64246452
scaffold_10	21492	5	293	2.644438589
scaffold_10	21493	5	294	2.645422269
scaffold_10	21494	5	295	2.645422269
scaffold_10	21495	5	296	2.645422269
scaffold_10	21496	5	297	2.650307523
scaffold_10	21497	5	298	2.650307523
scaffold_10	21498	5	299	2.651278014
scaffold_10	21499	5	300	2.651278014
scaffold_10	21500	5	301	2.651278014
scaffold_10	21501	5	302	2.650307523
scaffold_10	21502	5	303	2.652246341
scaffold_10	21503	5	304	2.651278014
scaffold_10	21504	5	305	2.649334859
scaffold_10	21505	5	306	2.656098202
scaffold_10	21506	5	307	2.664641976
scaffold_10	21507	5	308	2.662757832
scaffold_10	21508	5	309	2.671172843
scaffold_10	21509	5	310	2.674861141
scaffold_10	21510	5	311	2.664641976
scaffold_10	21511	5	312	2.674861141
scaffold_10	21512	5	313	2.667452953
scaffold_10	21513	5	314	2.663700925
scaffold_10	21514	5	315	2.656098202
scaffold_10	21515	5	316	2.650307523
scaffold_10	21516	5	317	2.648360011
scaffold_10	21517	5	318	2.650307523
scaffold_10	21518	5	319	2.662757832
scaffold_10	21519	5	320	2.666517981
scaffold_10	21520	5	321	2.658011397
scaffold_10	21521	5	322	2.655138435
scaffold_10	21522	5	323	2.651278014
scaffold_10	21523	5	324	2.64738297
scaffold_10	21524	5	325	2.649334859
scaffold_10	21525	5	326	2.630427875
scaffold_10	21526	5	327	2.638489257
scaffold_10	21527	5	328	2.632457292
scaffold_10	21528	5	329	2.658011397
scaffold_10	21529	5	330	2.661812686
scaffold_10	21530	5	331	2.658011397
scaffold_10	21531	5	332	2.657055853
scaffold_10	21532	5	333	2.663700925
scaffold_10	21533	5	334	2.655138435
scaffold_10	21534	5	335	2.664641976
scaffold_10	21535	5	336	2.6599162
scaffold_10	21536	5	337	2.672097858
scaffold_10	21537	5	338	2.671172843
scaffold_10	21538	5	339	2.675778342
scaffold_10	21539	6	340	2.671172843
scaffold_10	21540	6	341	2.668385917
scaffold_10	21541	6	342	2.670245853
scaffold_10	21542	6	343	2.667452953
scaffold_10	21543	6	344	2.683047038
scaffold_10	21544	6	345	2.684845362
scaffold_10	21545	6	346	2.683947131
scaffold_10	21546	6	347	2.683047038
scaffold_10	21547	6	348	2.681241237
scaffold_10	21548	6	349	2.687528961
scaffold_10	21549	6	350	2.688419822
scaffold_10	21550	6	351	2.693726949
scaffold_10	21551	6	352	2.691965103
scaffold_10	21552	6	353	2.691965103
scaffold_10	21553	6	354	2.693726949
scaffold_10	21554	6	355	2.686636269
scaffold_10	21555	6	356	2.691965103
scaffold_10	21556	6	357	2.696356389
scaffold_10	21557	6	358	2.692846919
scaffold_10	21558	6	359	2.691081492
scaffold_10	21559	6	360	2.683047038
scaffold_10	21560	6	361	2.67669361
scaffold_10	21561	6	362	2.683947131
scaffold_10	21562	6	363	2.691081492
scaffold_10	21563	6	364	2.693726949
scaffold_10	21564	6	365	2.688419822
scaffold_10	21565	6	366	2.684845362
scaffold_10	21566	6	367	2.684845362
scaffold_10	21567	6	368	2.683047038
scaffold_10	21568	6	369	2.691965103
scaffold_10	21569	6	370	2.693726949
scaffold_10	21570	6	371	2.704150517
scaffold_10	21571	6	372	2.682145076
scaffold_10	21572	6	373	2.682145076
scaffold_10	21573	6	374	2.69019608
scaffold_10	21574	6	375	2.692846919
scaffold_10	21575	6	376	2.697229343
scaffold_10	21576	6	377	2.695481676
scaffold_10	21577	6	378	2.710117365
scaffold_10	21578	6	379	2.698970004
scaffold_10	21579	6	380	2.702430536
scaffold_10	21580	6	381	2.703291378
scaffold_10	21581	6	382	2.705007959
scaffold_10	21582	6	383	2.711807229
scaffold_10	21583	6	384	2.704150517
scaffold_10	21584	6	385	2.705863712
scaffold_10	21585	6	386	2.702430536
scaffold_10	21586	6	387	2.707570176
scaffold_10	21587	6	388	2.713490543
scaffold_10	21588	6	389	2.710117365
scaffold_10	21589	6	390	2.711807229
scaffold_10	21590	6	391	2.703291378
scaffold_10	21591	6	392	2.718501689
scaffold_10	21592	6	393	2.717670503
scaffold_10	21593	6	394	2.730782276
scaffold_10	21594	6	395	2.719331287
scaffold_10	21595	6	396	2.729974286
scaffold_10	21596	6	397	2.738780558
scaffold_10	21597	6	398	2.737192643
scaffold_10	21598	6	399	2.741151599
scaffold_10	21599	6	400	2.748962861
scaffold_10	21600	6	401	2.752048448
scaffold_10	21601	6	402	2.750508395
scaffold_10	21602	6	403	2.755112266
scaffold_10	21603	6	404	2.746634199
scaffold_10	21604	6	405	2.750508395
scaffold_10	21605	6	406	2.756636108
scaffold_10	21606	6	407	2.758154622
scaffold_10	21607	6	408	2.754348336
scaffold_10	21608	6	409	2.743509765
scaffold_10	21609	6	410	2.745855195
scaffold_10	21610	6	411	2.761927838
scaffold_10	21611	6	412	2.765668555
scaffold_10	21612	6	413	2.767155866
scaffold_10	21613	6	414	2.772321707
scaffold_10	21614	6	415	2.772321707
scaffold_10	21615	6	416	2.769377326
scaffold_10	21616	6	417	2.768638101
scaffold_10	21617	6	418	2.766412847
scaffold_10	21618	6	419	2.764922985
scaffold_10	21619	6	420	2.767897616
scaffold_10	21620	6	421	2.767897616
scaffold_10	21621	6	422	2.770115295
scaffold_10	21622	6	423	2.770115295
scaffold_10	21623	6	424	2.765668555
scaffold_10	21624	6	425	2.767897616
scaffold_10	21625	6	426	2.769377326
scaffold_10	21626	6	427	2.767155866
scaffold_10	21627	6	428	2.764922985
scaffold_10	21628	6	429	2.764922985
scaffold_10	21629	6	430	2.765668555
scaffold_10	21630	6	431	2.763427994
scaffold_10	21631	6	432	2.759667845
scaffold_10	21632	6	433	2.767155866
scaffold_10	21633	6	434	2.769377326
scaffold_10	21634	6	435	2.767155866
scaffold_10	21635	6	436	2.765668555
scaffold_10	21636	6	437	2.770115295
scaffold_10	21637	6	438	2.767897616
scaffold_10	21638	6	439	2.773786445
scaffold_10	21639	6	440	2.780317312
scaffold_10	21640	6	441	2.778874472
scaffold_10	21641	6	442	2.782472624
scaffold_10	21642	6	443	2.772321707
scaffold_10	21643	6	444	2.779596491
scaffold_10	21644	6	445	2.778874472
scaffold_10	21645	6	446	2.778874472
scaffold_10	21646	6	447	2.777426822
scaffold_10	21647	6	448	2.779596491
scaffold_10	21648	6	449	2.778874472
scaffold_10	21649	6	450	2.785329835
scaffold_10	21650	6	451	2.783903579
scaffold_10	21651	6	452	2.789580712
scaffold_10	21652	6	453	2.794488047
scaffold_10	21653	6	454	2.785329835
scaffold_10	21654	6	455	2.788875116
scaffold_10	21655	6	456	2.783903579
scaffold_10	21656	6	457	2.782472624
scaffold_10	21657	6	458	2.790988475
scaffold_10	21658	6	459	2.789580712
scaffold_10	21659	6	460	2.782472624
scaffold_10	21660	6	461	2.783188691
scaffold_10	21661	6	462	2.776701184
scaffold_10	21662	6	463	2.792391689
scaffold_10	21663	6	464	2.786751422
scaffold_10	21664	6	465	2.793790385
scaffold_10	21665	6	466	2.790988475
scaffold_10	21666	6	467	2.791690649
scaffold_10	21667	6	468	2.781755375
scaffold_10	21668	6	469	2.783903579
scaffold_10	21669	6	470	2.781036939
scaffold_10	21670	6	471	2.782472624
scaffold_10	21671	6	472	2.785329835
scaffold_10	21672	6	473	2.777426822
scaffold_10	21673	6	474	2.787460475
scaffold_10	21674	6	475	2.782472624
scaffold_10	21675	6	476	2.783903579
scaffold_10	21676	6	477	2.784617293
scaffold_10	21677	6	478	2.788168371
scaffold_10	21678	6	479	2.780317312
scaffold_10	21679	6	480	2.781755375
scaffold_10	21680	6	481	2.781755375
scaffold_10	21681	6	482	2.790285164
scaffold_10	21682	6	483	2.791690649
scaffold_10	21683	6	484	2.790988475
scaffold_10	21684	6	485	2.791690649
scaffold_10	21685	6	486	2.7930916
scaffold_10	21686	6	487	2.797959644
scaffold_10	21687	6	488	2.7930916
scaffold_10	21688	6	489	2.796574333
scaffold_10	21689	6	490	2.795880017
scaffold_10	21690	6	491	2.80140371
scaffold_10	21691	6	492	2.80140371
scaffold_10	21692	6	493	2.80140371
scaffold_10	21693	6	494	2.793790385
scaffold_10	21694	7	495	2.790988475
scaffold_10	21695	7	496	2.791690649
scaffold_10	21696	9	497	2.787460475
scaffold_10	21697	10	498	2.79518459
scaffold_10	21698	10	499	2.792391689
scaffold_10	21699	12	500	2.783903579
scaffold_10	21700	17	501	2.783903579
scaffold_10	21701	23	502	2.783903579
scaffold_10	21702	31	503	2.777426822
scaffold_10	21703	48	504	2.781036939
scaffold_10	21704	69	505	2.782472624
scaffold_10	21705	69	506	2.774516966
scaffold_10	21706	71	507	2.759667845
scaffold_10	21707	71	508	2.771587481
scaffold_10	21708	75	509	2.774516966
scaffold_10	21709	101	510	2.775974331
scaffold_10	21710	101	511	2.77815125
scaffold_10	21711	156	512	2.777426822
scaffold_10	21712	169	513	2.766412847
scaffold_10	21713	168	514	2.767897616
scaffold_10	21714	192	515	2.773054693
scaffold_10	21715	199	516	2.771587481
scaffold_10	21716	202	517	2.778874472
scaffold_10	21717	202	518	2.77815125
scaffold_10	21718	202	519	2.77524626
scaffold_10	21719	206	520	2.770115295
scaffold_10	21720	208	521	2.773786445
scaffold_10	21721	207	522	2.778874472
scaffold_10	21722	217	523	2.778874472
scaffold_10	21723	218	524	2.781755375
scaffold_10	21724	217	525	2.783188691
scaffold_10	21725	219	526	2.77815125
scaffold_10	21726	220	527	2.781036939
scaffold_10	21727	218	528	2.773054693
scaffold_10	21728	231	529	2.77815125
scaffold_10	21729	239	530	2.775974331
scaffold_10	21730	235	531	2.773054693
scaffold_10	21731	239	532	2.772321707
scaffold_10	21732	239	533	2.763427994
scaffold_10	21733	239	534	2.763427994
scaffold_10	21734	242	535	2.764176132
scaffold_10	21735	242	536	2.764922985
scaffold_10	21736	242	537	2.764176132
scaffold_10	21737	246	538	2.762678564
scaffold_10	21738	243	539	2.760422483
scaffold_10	21739	252	540	2.762678564
scaffold_10	21740	257	541	2.763427994
scaffold_10	21741	259	542	2.770852012
scaffold_10	21742	260	543	2.775974331
scaffold_10	21743	263	544	2.742725131
scaffold_10	21744	263	545	2.748188027
scaffold_10	21745	259	546	2.73479983
scaffold_10	21746	268	547	2.7355989
scaffold_10	21747	269	548	2.742725131
scaffold_10	21748	278	549	2.733197265
scaffold_10	21749	278	550	2.725911632
scaffold_10	21750	283	551	2.726727209
scaffold_10	21751	285	552	2.725911632
scaffold_10	21752	287	553	2.722633923
scaffold_10	21753	289	554	2.720159303
scaffold_10	21754	299	555	2.721810615
scaffold_10	21755	300	556	2.720985744
scaffold_10	21756	300	557	2.722633923
scaffold_10	21757	303	558	2.716837723
scaffold_10	21758	301	559	2.731588765
scaffold_10	21759	303	560	2.733999287
scaffold_10	21760	331	561	2.710117365
scaffold_10	21761	332	562	2.715167358
scaffold_10	21762	328	563	2.707570176
scaffold_10	21763	332	564	2.711807229
scaffold_10	21764	331	565	2.707570176
scaffold_10	21765	332	566	2.716003344
scaffold_10	21766	336	567	2.721810615
scaffold_10	21767	342	568	2.719331287
scaffold_10	21768	348	569	2.719331287
scaffold_10	21769	350	570	2.713490543
scaffold_10	21770	351	571	2.716837723
scaffold_10	21771	361	572	2.717670503
scaffold_10	21772	363	573	2.709269961
scaffold_10	21773	365	574	2.685741739
scaffold_10	21774	363	575	2.704150517
scaffold_10	21775	355	576	2.702430536
scaffold_10	21776	370	577	2.691965103
scaffold_10	21777	371	578	2.696356389
scaffold_10	21778	368	579	2.697229343
scaffold_10	21779	371	580	2.691965103
scaffold_10	21780	373	581	2.700703717
scaffold_10	21781	374	582	2.694605199
scaffold_10	21782	375	583	2.675778342
scaffold_10	21783	379	584	2.67669361
scaffold_10	21784	381	585	2.661812686
scaffold_10	21785	381	586	2.6599162
scaffold_10	21786	384	587	2.661812686
scaffold_10	21787	384	588	2.661812686
scaffold_10	21788	382	589	2.663700925
scaffold_10	21789	383	590	2.658011397
scaffold_10	21790	386	591	2.664641976
scaffold_10	21791	388	592	2.660865478
scaffold_10	21792	391	593	2.664641976
scaffold_10	21793	388	594	2.671172843
scaffold_10	21794	391	595	2.671172843
scaffold_10	21795	391	596	2.657055853
scaffold_10	21796	393	597	2.644438589
scaffold_10	21797	397	598	2.675778342
scaffold_10	21798	395	599	2.675778342
scaffold_10	21799	397	600	2.678518379
scaffold_10	21800	398	601	2.673020907
scaffold_10	21801	405	602	2.67669361
scaffold_10	21802	406	603	2.672097858
scaffold_10	21803	407	604	2.672097858
scaffold_10	21804	408	605	2.680335513
scaffold_10	21805	410	606	2.677606953
scaffold_10	21806	411	607	2.678518379
scaffold_10	21807	412	608	2.67669361
scaffold_10	21808	406	609	2.666517981
scaffold_10	21809	412	610	2.672097858
scaffold_10	21810	408	611	2.672097858
scaffold_10	21811	414	612	2.670245853
scaffold_10	21812	413	613	2.670245853
scaffold_10	21813	402	614	2.670245853
scaffold_10	21814	412	615	2.665580991
scaffold_10	21815	430	616	2.668385917
scaffold_10	21816	432	617	2.63447727
scaffold_10	21817	431	618	2.632457292
scaffold_10	21818	433	619	2.63748973
scaffold_10	21819	429	620	2.640481437
scaffold_10	21820	434	621	2.640481437
scaffold_10	21821	432	622	2.635483747
scaffold_10	21822	432	623	2.643452676
scaffold_10	21823	439	624	2.638489257
scaffold_10	21824	438	625	2.64738297
scaffold_10	21825	439	626	2.657055853
scaffold_10	21826	439	627	2.668385917
scaffold_10	21827	442	628	2.668385917
scaffold_10	21828	447	629	2.673941999
scaffold_10	21829	448	630	2.657055853
scaffold_10	21830	447	631	2.654176542
scaffold_10	21831	448	632	2.668385917
scaffold_10	21832	450	633	2.663700925
scaffold_10	21833	449	634	2.671172843
scaffold_10	21834	450	635	2.671172843
scaffold_10	21835	455	636	2.671172843
scaffold_10	21836	454	637	2.653212514
scaffold_10	21837	455	638	2.665580991
scaffold_10	21838	455	639	2.666517981
scaffold_10	21839	454	640	2.662757832
scaffold_10	21840	453	641	2.664641976
scaffold_10	21841	455	642	2.658011397
scaffold_10	21842	454	643	2.655138435
scaffold_10	21843	451	644	2.649334859
scaffold_10	21844	460	645	2.650307523
scaffold_10	21845	469	646	2.650307523
scaffold_10	21846	466	647	2.654176542
scaffold_10	21847	476	648	2.649334859
scaffold_10	21848	479	649	2.640481437
scaffold_10	21849	468	650	2.652246341
scaffold_10	21850	477	651	2.653212514
scaffold_10	21851	470	652	2.6599162
scaffold_10	21852	465	653	2.660865478
scaffold_10	21853	457	654	2.661812686
scaffold_10	21854	452	655	2.654176542
scaffold_10	21855	450	656	2.655138435
scaffold_10	21856	451	657	2.658011397
scaffold_10	21857	464	658	2.668385917
scaffold_10	21858	468	659	2.669316881
scaffold_10	21859	459	660	2.666517981
scaffold_10	21860	457	661	2.673020907
scaffold_10	21861	454	662	2.669316881
scaffold_10	21862	450	663	2.667452953
scaffold_10	21863	452	664	2.670245853
scaffold_10	21864	434	665	2.670245853
scaffold_10	21865	441	666	2.673941999
scaffold_10	21866	435	667	2.673020907
scaffold_10	21867	461	668	2.668385917
scaffold_10	21868	466	669	2.669316881
scaffold_10	21869	461	670	2.670245853
scaffold_10	21870	459	671	2.679427897
scaffold_10	21871	467	672	2.673941999
scaffold_10	21872	457	673	2.675778342
scaffold_10	21873	467	674	2.663700925
scaffold_10	21874	462	675	2.666517981
scaffold_10	21875	475	676	2.669316881
scaffold_10	21876	475	677	2.64738297
scaffold_10	21877	479	678	2.648360011
scaffold_10	21878	474	679	2.648360011
scaffold_10	21879	471	680	2.649334859
scaffold_10	21880	474	681	2.64246452
scaffold_10	21881	470	682	2.658964843
scaffold_10	21882	487	683	2.666517981
scaffold_10	21883	489	684	2.673941999
scaffold_10	21884	488	685	2.671172843
scaffold_10	21885	487	686	2.674861141
scaffold_10	21886	485	687	2.668385917
scaffold_10	21887	492	688	2.672097858
scaffold_10	21888	493	689	2.678518379
scaffold_10	21889	499	690	2.681241237
scaffold_10	21890	497	691	2.684845362
scaffold_10	21891	498	692	2.680335513
scaffold_10	21892	499	693	2.681241237
scaffold_10	21893	492	694	2.677606953
scaffold_10	21894	497	695	2.677606953
scaffold_10	21895	502	696	2.680335513
